brand,store_name,format,host,label_stated,street,city,state,zip,phone,store_id,source_url,captured_on,note
RLX,Ralph Lauren Atlanta,parent-store department,Ralph Lauren,Golf,"3393 Peachtree Rd. NE, Unit 3086",Atlanta,GA,30326,404.445.7670,8056,https://www.ralphlauren.com/locations/US/Atlanta/8056,2026-09-05,label_stated=Golf — RLX reading is INFERENCE
Ralph Lauren Purple Label,Ralph Lauren Chicago,parent-store department,Ralph Lauren,Purple Label,750 N Michigan Avenue,Chicago,IL,60611,+13122801655,828,https://www.ralphlauren.com/locations/US/Chicago/828,2026-09-05,
RRL,Ralph Lauren Chicago,parent-store department,Ralph Lauren,RRL,750 N Michigan Avenue,Chicago,IL,60611,+13122801655,828,https://www.ralphlauren.com/locations/US/Chicago/828,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Oak Brook,parent-store department,Ralph Lauren,Purple Label,"630 Oakbrook Center, Suite 630",Oak Brook,IL,60523,630.478.0556,8052,https://www.ralphlauren.com/locations/US/Oak%20Brook/8052,2026-09-05,
RRL,Ralph Lauren Oak Brook,parent-store department,Ralph Lauren,RRL,"630 Oakbrook Center, Suite 630",Oak Brook,IL,60523,630.478.0556,8052,https://www.ralphlauren.com/locations/US/Oak%20Brook/8052,2026-09-05,
RLX,Ralph Lauren Oak Brook,parent-store department,Ralph Lauren,RLX,"630 Oakbrook Center, Suite 630",Oak Brook,IL,60523,630.478.0556,8052,https://www.ralphlauren.com/locations/US/Oak%20Brook/8052,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Boston,parent-store department,Ralph Lauren,Purple Label,93-95 Newbury Street,Boston,MA,02116,617.424.1124,838,https://www.ralphlauren.com/locations/US/Boston/838,2026-09-05,
RRL,Ralph Lauren Boston,parent-store department,Ralph Lauren,RRL,93-95 Newbury Street,Boston,MA,02116,617.424.1124,838,https://www.ralphlauren.com/locations/US/Boston/838,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Troy,parent-store department,Ralph Lauren,Purple Label,"2801 West Big Beaver Road, C-117",Troy,MI,48084,248.509.8907,8055,https://www.ralphlauren.com/locations/US/Troy/8055,2026-09-05,
RRL,Ralph Lauren Troy,parent-store department,Ralph Lauren,RRL,"2801 West Big Beaver Road, C-117",Troy,MI,48084,248.509.8907,8055,https://www.ralphlauren.com/locations/US/Troy/8055,2026-09-05,
