brand,store_name,banner_stated,format,status,street,city,state,zip,phone,venue,source_url,format_basis,flag,correction,captured_on,source_file
Aimé Leon Dore,,,own-door,open,224 Mulberry St.,New York,NY,10012,,,https://www.aimeleondore.com/pages/stores,master store_type=flagship (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Alex Mill,,,own-door,open,39 Main Street,Edgartown,MA,02539,,,https://www.alexmill.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Alex Mill,,,own-door,open,1182 Madison Avenue,New York,NY,10028,,,https://www.alexmill.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Alex Mill,,,own-door,open,77 Mercer Street,New York,NY,10012,,,https://www.alexmill.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Ami Paris,,,own-door,open,8583 Melrose Ave,West Hollywood,CA,90069,,,https://www.amiparis.com/us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Ami Paris,Aventura Mall,,own-door,open,19565 Biscayne Boulevard,Aventura,FL,33180,,Aventura Mall,https://www.amiparis.com/us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Ami Paris,Miami Design District,,own-door,open,99 Northeast 39th Street,Miami,FL,33137,,Miami Design District,https://www.amiparis.com/us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Ami Paris,,,own-door,open,77 Greene St,New York,NY,10012,,,https://www.amiparis.com/us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Scottsdale Fashion Square,,own-door,open,7014 E Camelback Rd Space 1101,Scottsdale,AZ,85251,,Scottsdale Fashion Square,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,,,own-door,open,461 North Rodeo Drive,Beverly Hills,CA,90210,,,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,South Coast Plaza,,own-door,open,"3333 Bristol Street, Suite 2018",Costa Mesa,CA,92626,,South Coast Plaza,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Beverly Center,,own-door,open,8500 Beverly Blvd Suite #747,Los Angeles,CA,90048,,Beverly Center,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Fashion Valley,,own-door,open,7007 Friars Rd Suite 1015,San Diego,CA,92108,,Fashion Valley,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Westfield Valley Fair,,own-door,open,2855 Stevens Creek Blvd Space A357,Santa Clara,CA,95050,,Westfield Valley Fair,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Aventura Mall,,own-door,open,"19501 Biscayne Blvd, Space #007 – Lower Level",Aventura,FL,33180,,Aventura Mall,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Miami Design District,,own-door,open,106 NE 39th Street,Miami,FL,33137,,Miami Design District,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Phipps Plaza,,own-door,open,3500 Peachtree Rd NE,Atlanta,GA,30326,,Phipps Plaza,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,,,own-door,open,46 E Walton Street,Chicago,IL,60611,,,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,The Mall at Short Hills,,own-door,open,1200 Morris Turnpike Space #B-24,Short Hills,NJ,07078,,The Mall at Short Hills,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,Wynn Las Vegas,,own-door,open,"3121 South Las Vegas Boulevard, Wynn",Las Vegas,NV,89109,,Wynn Las Vegas,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,The Forum Shops at Caesars,,own-door,open,"3500 Las Vegas Blvd S, #D01A",Las Vegas,NV,89109,,The Forum Shops at Caesars,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,,,own-door,open,71–73 Greene Street,New York,NY,10012,,,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,King of Prussia Mall,,own-door,open,"350 Mall Blvd, Suite 3032",King of Prussia,PA,19406,,King of Prussia Mall,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,The Mall at Green Hills,,own-door,open,2126 Abbott Martin Rd Space 262,Nashville,TN,37215,,The Mall at Green Hills,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,The Galleria,,own-door,open,5015 Westheimer Rd. #A3401,Houston,TX,77056,,The Galleria,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Amiri,The Shops at La Cantera,,own-door,open,15900 La Cantera Pkwy Suite 11100,San Antonio,TX,78256,,The Shops at La Cantera,https://www.amiri.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,South Coast Plaza,,own-door,open,"3333 Bristol St, Suite 2801",Costa Mesa,CA,92626,,South Coast Plaza,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,,,own-door,open,3517 W Sunset Blvd,Los Angeles,CA,90026,,,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,,,own-door,open,8420 Melrose Pl,Los Angeles,CA,90069,,,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,,,own-door,open,411 Hayes St,San Francisco,CA,94102,,,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,,,own-door,open,"94 N 3rd St, Retail unit C",Brooklyn,NY,11249,,,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,,,own-door,open,131 Mercer Street,New York,NY,10012,,,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A.P.C.,,,own-door,open,267 West 4th Street,New York,NY,10014,,,https://www.apc-us.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,1354 Burlingame Avenue,Burlingame,CA,94010,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,11715 San Vicente Boulevard,Los Angeles,CA,90049,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,159 South La Brea Avenue,Los Angeles,CA,90036,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,1079 Newport Center Drive,Newport Beach,CA,92660,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"180 El Camino Real, Building C, Suite 9",Palo Alto,CA,94304,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,107 West Colorado Boulevard,Pasadena,CA,91105,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,534 East Cooper Avenue,Aspen,CO,81611,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"1600 Pearl Street, Suite 100",Boulder,CO,80302,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,2601 Walnut Street,Denver,CO,80205,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,Cherry Creek Shopping Center,,own-door,open,"Unit #276, 3000 East 1st Avenue",Denver,CO,80206,,Cherry Creek Shopping Center,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,1099 H Street NW,Washington,DC,20001,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,3218 M Street NW,Washington,DC,20007,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,1007 North Rush Street,Chicago,IL,60611,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,3441 North Southport Avenue,Chicago,IL,60657,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,2228 Oakbrook Center,Oak Brook,IL,60523,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,Old Orchard,,own-door,open,"Unit N28, 4999 Old Orchard Center",Skokie,IL,60077,,Old Orchard,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,352 Newbury Street,Boston,MA,02115,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"27 Boylston Street, Suite 230",Chestnut Hill,MA,02467,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,110 Market Street,Lynnfield,MA,01940,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"7101 Democracy Boulevard, Space #1066",Bethesda,MD,20817,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,145 West Market Street,Bloomington,MN,55425,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,Westfield Garden State Plaza,,own-door,open,"Space D1B, 1 Garden State Plaza",Paramus,NJ,07652,,Westfield Garden State Plaza,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,The Mall at Short Hills,,own-door,open,"C101, 1200 Morris Turnpike",Short Hills,NJ,07078,,The Mall at Short Hills,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"1950 Northern Boulevard, Unit B-1A",Manhasset,NY,11030,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,149 5th Avenue,New York,NY,10010,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,158 Columbus Avenue,New York,NY,10023,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"250 Vesey Street, Unit 115",New York,NY,10281,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,580 Broadway,New York,NY,10012,,,https://stores.arcteryx.com,master store_type=flagship (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"600 5th Avenue, Space B",New York,NY,10020,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,605 Northwest 23rd Avenue,Portland,OR,97210,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"9321 Southwest Washington Square Road, Unit T05",Portland,OR,97223,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,570 Main Street,Park City,UT,84060,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,207-50 South Main Street,Salt Lake City,UT,84101,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,"1961 Chain Bridge Road, Space #K4AU",Tysons,VA,22182,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Arc'teryx,,,own-door,open,401 Pike Street,Seattle,WA,98101,,,https://stores.arcteryx.com,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"7014 E Camelback Rd, Space 1060",Scottsdale,AZ,85251,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,338 N Rodeo Dr,Beverly Hills,CA,90210,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"6600 Topanga Canyon Blvd, Space 19",Canoga Park,CA,91303,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"3333 Bristol St, Suite 1200",Costa Mesa,CA,92626,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"8500 Beverly Blvd, Space #769",Los Angeles,CA,90048,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"8500 Beverly Blvd, Space #770",Los Angeles,CA,90048,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"2855 Stevens Creek Blvd, Suite 1235",Santa Clara,CA,95050,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"151 NE 41st St, Space #125",Miami,FL,33137,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"9700 Collins Avenue, Unit No. 152",Miami,FL,33154,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,4200 Conroy Road,Orlando,FL,32839,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"3500 Peachtree Rd NE, Space 1011B",Atlanta,GA,30326,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,1450 Ala Moana Blvd #2067,Honolulu,HI,96814,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"2330 Kalakaua Ave, Space #100",Honolulu,HI,96815,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,15 East Oak St,Chicago,IL,60611,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,100 Huntington Ave,Boston,MA,02116,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"2801 W Big Beaver Road, Space E149",Troy,MI,48084,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,4400 Sharon Road,Charlotte,NC,28211,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,1 American Dream Way Space E147,East Rutherford,NJ,07073,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,The Mall at Short Hills 1200 Morris Turnpike Space B-228,Short Hills,NJ,07078,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"Forum Shops at Caesars, 3500 S Las Vegas Blvd Suite C01A",Las Vegas,NV,89109,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"Wynn Encore Esplanade, 3131 S Las Vegas Blvd Space #18",Las Vegas,NV,89109,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,110 Greene Street,New York,NY,10012,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,620 Madison Avenue,New York,NY,10022,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"160 N Gulph Road, Space 2156D",King of Prussia,PA,19406,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,11501 Century Oaks Terrace,Austin,TX,78758,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"8687 N Central Expy, Space #317",Dallas,TX,75225,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"The Galleria, 5015 Westheimer Rd, Space A2262",Houston,TX,77056,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Balenciaga,,,own-door,open,"2001 International Dr, Space 2014",McLean,VA,22102,,,https://www.balenciaga.com/en-us/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Banana Republic,PINNACLE HILLS PROM,,own-door,open,2203 S. Promenade Blvd Suite #2190,Rogers,AR,72758,(479) 631-2703,,https://bananarepublic.gap.com/stores/ar/rogers/banana-republic-8481.html,brand-stated: locator store-type tag (non-Factory),,,2026-09-05,banana_republic_classified_2026-09-05.csv
Banana Republic,SHOPS @ TOWN COUNTRY,,own-door,open,2103 East Camelback Road Suite A-18-a,Phoenix,AZ,85016,(602) 840-6461,,https://bananarepublic.gap.com/stores/az/phoenix/banana-republic-4005.html,brand-stated: locator store-type tag (non-Factory),,,2026-09-05,banana_republic_classified_2026-09-05.csv
Banana Republic,Scottsdale Fash SQ,,own-door,open,7014 East Camelback Road Ste 2280,Scottsdale,AZ,85251,(480) 295-3420,,https://bananarepublic.gap.com/stores/az/scottsdale/banana-republic-6756.html,brand-stated: locator store-type tag (non-Factory),,,2026-09-05,banana_republic_classified_2026-09-05.csv
Banana Republic,Park Mall,,own-door,open,5870 East Broadway Blvd Space 224,Tucson,AZ,85711,(520) 790-0072,,https://bananarepublic.gap.com/stores/az/tucson/banana-republic-8547.html,brand-stated: locator store-type tag (non-Factory),,,2026-09-05,banana_republic_classified_2026-09-05.csv
Banana Republic,Shops At Chino Hills,,own-door,open,13855 City Center Drive,Chino Hills,CA,91709,(909) 627-7049,,https://bananarepublic.gap.com/stores/ca/chino-hills/banana-republic-8316.html,brand-stated: locator store-type tag (non-Factory),,,2026-09-05,banana_republic_classified_2026-09-05.csv
