brand,styles_total,styles_with_composition,natural_pct,synthetic_pct,spandex_styles,shape,synthetic_categories,natural_categories,style_method,colourway_ratio,feed_currency_rate,source,note
Rowan,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Mizzen+Main,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
State & Liberty,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rhone,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
J.Lindeberg,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
TravisMathew,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Malbon,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Redvanly,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
RLX,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
johnnie-O,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Percival,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Wax London,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Hiroshi Kato,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Sugar Cane,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Buck Mason,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Duck Head,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Wythe,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
AYR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Alex Mill,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Robert Barakett,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Easy Mondays,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Indochino,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Proper Cloth,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Tecovas,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Patrick James,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Barbour,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Baracuta,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Filson,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
James Perse,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Y.Chroma,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Madhappy,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Kith,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Aimé Leon Dore,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Massimo Dutti,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Vineyard Vines,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Polo Ralph Lauren,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
RRL,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
J.McLaughlin,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Ted Baker,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Scotch & Soda,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
NN07,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Samsøe Samsøe,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Les Deux,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Norse Projects,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Vollebak,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Stone Island,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
A Bathing Ape,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Canada Goose,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Arc'teryx,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Vince,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rails,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Club Monaco,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
PAIGE,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
AG,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Ksubi,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Purple,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Diesel,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Citizens of Humanity,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
AGOLDE,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Fidelity Denim,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Joe's Jeans,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Suitsupply,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Boggi Milano,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Hackett,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Eton,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rakho,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Eleventy,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Borgo28,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Incotex,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Jack Victor,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Brooks Brothers,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
J.Press,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Sunspel,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Saint James,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Margaret Howell,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Reiss,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Sandro,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Isabel Marant,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Frame,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Theory,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rag & Bone,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
John Varvatos,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Sid Mashburn,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Billy Reid,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
A.P.C.,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Luca Faloni,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
120% Lino,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Paul Smith,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Officine Générale,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Brax,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Hartford,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Our Legacy,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Auralee,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Ami Paris,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Boglioli,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Peserico,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Ring Jacket,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Drake's,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
John Smedley,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Gran Sasso,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Johnstons of Elgin,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Raffi,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
BOSS,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Corneliani,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Canali,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Thom Browne,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Burberry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Herno,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Valstar,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Aspesi,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Paul & Shark,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Sease,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Moncler,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Ferragamo,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Giorgio Armani,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Missoni,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Etro,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Versace,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Dolce&Gabbana,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Fendi,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Valentino,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Saint Laurent,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Celine,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Givenchy,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Gucci,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Balenciaga,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
McQueen,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Maison Margiela,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rick Owens,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Yohji Yamamoto,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Junya Watanabe,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Sacai,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Casablanca,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Jacquemus,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Prada,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Loewe,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
JW Anderson,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Dior,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Amiri,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rhude,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Palm Angels,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Golden Goose,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Fear of God,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Bode,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Greg Lauren,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Visvim,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Tom Ford,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Ralph Lauren Purple Label,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Zegna,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Bottega Veneta,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Berluti,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Charvet,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Husbands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Brioni,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Isaia,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
The Row,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Lemaire,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Jil Sander,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Acne Studios,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Dries Van Noten,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Wales Bonner,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
JiyongKim,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Brunello Cucinelli,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Fedeli,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
The Elder Statesman,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Hermès,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rubinacci,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Kiton,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Cesare Attolini,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Zilli,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Stefano Ricci,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
