brand,open_slots,site_domain,platform,has_search_url
J.McLaughlin,Sweater; Outerwear; Shoes,jmclaughlin.com,shopify,yes
Peter Millar,Sweater; Outerwear; Shoes,petermillar.com,salesforce_commerce,yes
Ted Baker,Sweater; Outerwear; Shoes,tedbaker.com,shopify,yes
Scotch & Soda,Sweater; Outerwear; Shoes,scotchandsoda.com,shopify,yes
NN07,Sweater; Outerwear; Shoes,nn07.com,custom,yes
Samsøe Samsøe,— (search URL only),samsoe.com,custom,no
Les Deux,Tee; Polo; Dress shirt; Jeans; Dress pants; Sweater; Outerwear; Shoes,lesdeux.us,shopify,no
Norse Projects,Sweater; Outerwear; Shoes,norseprojects.com,shopify,yes
Vollebak,Sweater; Outerwear; Shoes,vollebak.com,shopify,yes
Stone Island,Sweater; Outerwear; Shoes,stoneisland.com,salesforce_commerce,yes
A Bathing Ape,— (search URL only),us.bape.com,shopify,no
Canada Goose,Sweater; Outerwear; Shoes,canadagoose.com,salesforce_commerce,yes
Arc'teryx,Sweater; Outerwear; Shoes,arcteryx.com,custom,yes
Vince,Sweater; Outerwear; Shoes,vince.com,salesforce_commerce,yes
Rails,Sweater; Outerwear; Shoes,rails.com,shopify,yes
Club Monaco,Sweater; Outerwear; Shoes,clubmonaco.com,shopify,yes
PAIGE,Sweater; Outerwear; Shoes,paige.com,shopify,yes
AG,Sweater; Outerwear; Shoes,agjeans.com,shopify,yes
Ksubi,Sweater; Outerwear; Shoes,ksubi.com,shopify,yes
Purple,Sweater; Outerwear; Shoes,purple-brand.com,shopify,yes
Diesel,Sweater; Outerwear; Shoes,diesel.com,salesforce_commerce,yes
Citizens of Humanity,Sweater; Outerwear; Shoes,citizensofhumanity.com,shopify,yes
AGOLDE,Sweater; Outerwear; Shoes,agolde.com,shopify,yes
Fidelity Denim,Sweater; Outerwear; Shoes,fidelitydenim.com,shopify,yes
Joe's Jeans,Sweater; Outerwear; Shoes,joesjeans.com,shopify,yes
Suitsupply,Sweater; Outerwear; Shoes,suitsupply.com,shopify,yes
Boggi Milano,Sweater; Outerwear; Shoes,boggi.com,salesforce_commerce,yes
Hackett,— (search URL only),hackett.com,salesforce_commerce,no
Rakho,Dress shirt; Jeans; Dress pants; Outerwear,rakho.nyc,custom,no
Eleventy,Sweater; Outerwear; Shoes,eleventymilano.com,shopify,yes
Borgo28,— (search URL only),borgo28.com,shopify,no
Incotex,— (search URL only),slowear.com,shopify,no
Brooks Brothers,Sweater; Outerwear; Shoes,brooksbrothers.com,salesforce_commerce,yes
J.Press,Sweater; Outerwear; Shoes,jpress.com,shopify,yes
Sunspel,Sweater; Outerwear; Shoes,sunspel.com,shopify,yes
Saint James,Dress shirt,us.saint-james.com,shopify,no
Merz b. Schwanen,— (search URL only),www.merzbschwanen.com,shopify,no
Margaret Howell,Sweater; Outerwear; Shoes,margarethowell.co.uk,shopify,yes
Reiss,Sweater; Outerwear; Shoes,reiss.com,custom,yes
Isabel Marant,Sweater; Outerwear; Shoes,isabelmarant.com,shopify,yes
Frame,Sweater; Outerwear; Shoes,frame-store.com,shopify,yes
Theory,Sweater; Outerwear; Shoes,theory.com,salesforce_commerce,yes
Rag & Bone,Sweater; Outerwear; Shoes,rag-bone.com,salesforce_commerce,yes
John Varvatos,Sweater; Outerwear; Shoes,johnvarvatos.com,salesforce_commerce,yes
Sid Mashburn,Sweater; Outerwear; Shoes,shopmashburn.com,shopify,yes
Billy Reid,Sweater; Outerwear; Shoes,billyreid.com,shopify,yes
A.P.C.,Sweater; Outerwear; Shoes,apc-us.com,shopify,yes
Paul Smith,Sweater; Outerwear; Shoes,paulsmith.com,custom,yes
Officine Générale,Sweater; Outerwear; Shoes,us.officinegenerale.com,shopify,yes
Brax,Tee; Polo; Dress shirt; Sweater; Outerwear,brax.com,custom,no
Our Legacy,Sweater; Outerwear; Shoes,ourlegacy.com,custom,yes
Auralee,Sweater; Outerwear; Shoes,auralee.jp,custom,no
Ami Paris,Sweater; Outerwear; Shoes,amiparis.com,shopify,yes
Todd Snyder,Sweater; Outerwear; Shoes,toddsnyder.com,shopify,yes
Boglioli,Sweater; Outerwear; Shoes,bogliolimilano.com,shopify,yes
Peserico,— (search URL only),it.peserico.com,shopify,no
Ring Jacket,Sweater; Outerwear; Shoes,ringjacket.co.jp,custom,no
Drake's,Sweater; Outerwear; Shoes,us.drakes.com,shopify,yes
Gran Sasso,— (search URL only),shop.gransasso.it,custom,no
BOSS,Sweater,hugoboss.com,salesforce_commerce,yes
Corneliani,Sweater; Outerwear; Shoes,corneliani.com,magento,yes
Canali,Sweater; Outerwear; Shoes,us.canali.com,custom,yes
Thom Browne,Sweater; Outerwear; Shoes,thombrowne.com,shopify,yes
Burberry,Sweater; Outerwear; Shoes,us.burberry.com,custom,yes
Herno,Sweater; Outerwear; Shoes,us.herno.com,salesforce_commerce,yes
Valstar,— (search URL only),valstarmilano.com,shopify,no
Aspesi,Sweater; Outerwear; Shoes,aspesi.com,shopify,yes
Paul & Shark,Sweater; Outerwear; Shoes,paulandshark.com,salesforce_commerce,yes
Sease,Tee; Polo; Dress shirt; Jeans; Dress pants; Sweater; Outerwear; Shoes,sease.it,shopify,yes
Moncler,Sweater; Outerwear; Shoes,moncler.com,salesforce_commerce,yes
Ferragamo,Shoes,ferragamo.com,custom,no
Giorgio Armani,Sweater; Outerwear; Shoes,armani.com,custom,yes
Missoni,Sweater; Outerwear; Shoes,missoni.com,salesforce_commerce,yes
Etro,— (search URL only),etro.com,salesforce_commerce,no
Versace,Sweater; Outerwear; Shoes,versace.com,salesforce_commerce,yes
Dolce&Gabbana,Sweater; Outerwear; Shoes,dolcegabbana.com,salesforce_commerce,yes
Fendi,Sweater; Outerwear; Shoes,fendi.com,custom,yes
Valentino,Sweater; Outerwear; Shoes,valentino.com,custom,yes
Saint Laurent,Sweater; Outerwear; Shoes,ysl.com,custom,yes
Celine,Sweater; Outerwear; Shoes,celine.com,custom,yes
Givenchy,Sweater; Outerwear; Shoes,www.givenchy.com,salesforce_commerce,yes
Gucci,Sweater; Outerwear; Shoes,www.gucci.com,custom,yes
Balenciaga,Sweater; Outerwear; Shoes,www.balenciaga.com,salesforce_commerce,yes
McQueen,Sweater; Outerwear; Shoes,www.alexandermcqueen.com,custom,yes
Maison Margiela,Sweater; Outerwear; Shoes,www.maisonmargiela.com,salesforce_commerce,yes
Rick Owens,Sweater; Outerwear; Shoes,www.rickowens.eu,shopify,yes
Yohji Yamamoto,Sweater; Outerwear; Shoes,theshopyohjiyamamoto.com,shopify,no
Comme des Garçons,Sweater; Outerwear; Shoes,www.comme-des-garcons.com,custom,no
Junya Watanabe,Sweater; Outerwear; Shoes,www.comme-des-garcons.com/junyawatanabeman.html,custom,no
Sacai,Sweater; Outerwear; Shoes,www.sacai.jp,shopify,no
Casablanca,Sweater; Outerwear; Shoes,casablancaparis.com,shopify,yes
Jacquemus,Sweater; Outerwear; Shoes,www.jacquemus.com,salesforce_commerce,yes
Prada,Sweater; Outerwear; Shoes,www.prada.com,custom,yes
Loewe,Sweater; Outerwear; Shoes,www.loewe.com,salesforce_commerce,yes
JW Anderson,Sweater; Outerwear; Shoes,www.jwanderson.com,shopify,yes
Dior,Sweater; Outerwear; Shoes,www.dior.com,custom,yes
Amiri,Sweater; Outerwear; Shoes,amiri.com,shopify,yes
Rhude,Sweater; Outerwear; Shoes,rh-ude.com,shopify,yes
Palm Angels,Sweater; Outerwear; Shoes,www.palmangels.com,salesforce_commerce,yes
Golden Goose,— (search URL only),www.goldengoose.com,salesforce_commerce,no
Fear of God,Polo; Dress shirt; Sweater; Outerwear; Shoes,fearofgod.com,shopify,yes
Bode,Sweater; Outerwear; Shoes,bode.com,shopify,yes
Greg Lauren,Sweater; Outerwear; Shoes,greglauren.com,shopify,no
Visvim,Sweater; Outerwear; Shoes,shop.visvim.com,custom,no
Tom Ford,Sweater; Outerwear; Shoes,www.tomfordfashion.com,salesforce_commerce,yes
Zegna,Sweater; Outerwear; Shoes,www.zegna.com,custom,yes
Bottega Veneta,Sweater; Outerwear; Shoes,www.bottegaveneta.com,salesforce_commerce,yes
Charvet,Sweater; Outerwear; Shoes,charvet.com,custom,no
Husbands,Sweater; Outerwear; Shoes,husbands-paris.com,shopify,yes
Brioni,Sweater; Outerwear; Shoes,www.brioni.com,custom,yes
Isaia,Sweater; Outerwear; Shoes,www.isaia.it,shopify,yes
The Row,Sweater; Outerwear; Shoes,www.therow.com,shopify,yes
Lemaire,Sweater; Outerwear; Shoes,www.lemaire.fr,shopify,yes
Jil Sander,Sweater; Outerwear; Shoes,www.jilsander.com,salesforce_commerce,yes
Acne Studios,Sweater; Outerwear; Shoes,www.acnestudios.com,salesforce_commerce,yes
Dries Van Noten,Sweater; Outerwear; Shoes,www.driesvannoten.com,shopify,yes
Wales Bonner,Sweater; Outerwear; Shoes,walesbonner.com,shopify,no
JiyongKim,Tee; Polo; Dress shirt; Jeans; Outerwear,intl.jiyongkim.net,custom,no
Brunello Cucinelli,Sweater; Outerwear; Shoes,shop.brunellocucinelli.com,salesforce_commerce,yes
Fedeli,Sweater; Outerwear,www.fedelicashmere.com,shopify,no
The Elder Statesman,Sweater; Outerwear; Shoes,elder-statesman.com,shopify,yes
Hermès,Sweater; Outerwear; Shoes,www.hermes.com,custom,yes
Loro Piana,Sweater; Outerwear; Shoes,us.loropiana.com,custom,yes
Rubinacci,Sweater; Outerwear; Shoes,www.marianorubinacci.com,custom,no
Kiton,Sweater; Outerwear; Shoes,kiton.com,shopify,yes
Cesare Attolini,Sweater; Outerwear; Shoes,www.cesareattolini.com,custom,yes
Zilli,Sweater; Outerwear; Shoes,en.zilli.com,custom,no
Stefano Ricci,Sweater; Outerwear; Shoes,www.stefanoricci.com,salesforce_commerce,yes
