brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
Alo,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,188,298,138,398,150,295,-,SKIP,https://www.aloyoga.com,USD,complete,https://www.aloyoga.com/products.json | https://www.aloyoga.com/collections/mens-sweaters | https://www.aloyoga.com/collections/mens-sweaters/products.json | https://www.aloyoga.com/collections/mens-shoes/products.json,"range outerwear, shoes | Sweater: low = Domain Rib Knit Crew Sweater / Domain Shift Rib Knit Sweater Crew $188 full price (storefront shows $188, matches feed; 71 products stated on men's sweaters page, 71 in feed); high = Unisex Wool Cashmere New Class Crewneck Sweater $298 (sold in men's; only elevated-fibre crew). Accolade Crew Neck Pullover ($138) is a sweatshirt, excluded. range outerwear: no men's jacket style in both entry and real suede/leather/shearling/cashmere (only Faux Leather Premier Bomber, sherpa and faux fur), so plain regular range of Men:Outerwear:Jackets excluding overshirts/shackets: low Vantage Nylon Ripstop Track Jacket and Polar Fleece Ridge Full Zip Jacket $138, high Oversized Faux Fur Trench / Stage Sweater Puffer / Gold Rush Puffer Trench $398. range shoes: men's shoes collection (32 products) has no loafer - sneakers, slides, slippers only, all unisex: low It Slide (Unisex) $150, high ALO Trail (Unisex) $295. The ALO Malibu Loafer ($285) is tagged Men:Fashion in feed but sized 5W-12W only and not in the men's shoes collection, so not counted."
Southern Tide,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,158,178,168,178,70,70,-,SKIP,https://southerntide.com,USD,complete,https://southerntide.com/products.json | https://southerntide.com/collections/mens-sweaters/products.json | https://southerntide.com/collections/mens-outerwear/products.json | https://southerntide.com/products/upper-deck-heather-crew,"range sweater: only men's crewneck sweater is Broad River Indigo Crew (cotton cable, regular $158, currently $99.50) and there is no elevated-fibre crewneck, so plain range of true sweaters (M_Sweater): low Broad River Indigo Crew $158, high Bass Creek Heather Quarter Button Sweater regular $178 (Whitehaven Heather Quarter Zip Sweater $168). Upper Deck Heather Crew ($98, storefront shows $48.50 was $98, matches feed) is a cotton sweatshirt-style pullover, excluded; quarter-zip pullovers ($128-158) excluded as not sweaters. range outerwear: no suede/leather/shearling/cashmere jackets; men's jackets are Avondale Performance Jacket $168, Seabreeze Performance Pullover $168, Mixed Media Full Zip Jacket $178; vests, blazers and Heather Quilted Knit Shacket excluded. range shoes: no loafer; own-label men's footwear is Men's River Rock Flipjacks and Men's Dock Flipjacks leather flip-flops $69.50 each (rounded to 70); Archies Arch Support Flip Flops ($40) are third-party Archies product sold under Southern Tide vendor string, excluded. Summer-to-fall changeover: catalogue is thin on knitwear/jackets right now, figures may move when fall line lands."
Rhoback,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,128,194,154,248,NONE,NONE,Shoes,SKIP,https://rhoback.com,USD,complete,https://rhoback.com/collections/mens-tops-sweaters | https://rhoback.com/collections/mens-tops-crewnecks | https://rhoback.com/collections/mens-tops-jackets-and-outerwear | https://rhoback.com/collections/mens-tops-jackets | https://rhoback.com/search?q=shoe | https://rhoback.com/search?q=loafer,"range sweater, outerwear | Headless Shopify storefront: products.json and /products/<handle>.js return 404, so figures are displayed storefront prices (no strike-through shown on any item used). range sweater: no crewneck sweater (Men's Crewnecks collection is sweatshirts/performance crews: Pace Performance Crew and Ready Crewneck $112-135, excluded), so plain range of Men's Sweaters (8 tiles): low Harbor Stretch Sweater Polo $128, high Hogan Q-Zip Sweater $194 (Hogan Sweater Hoodie $184). range outerwear: no elevated-material jackets; Men's Jackets (8 tiles) excluding Summit Fleece Shirt Jacket ($154, shirt-jacket): low Brookline Lightweight Jacket $154, high Glide Down Jacket $248 (Summit Fleece Full-Zip $158, Fulton Hybrid Half-Zip Hoodie $178, Fulton Hybrid Jacket $188); vests excluded. Parent Jackets & Outerwear collection states 66 items (48 shown before Show More) incl. vests/half-zips/fleeces. Shoes NONE: men's nav has no footwear; search for shoe returns only a collegiate polo (The Ohio State Shoe 2.0, named after the stadium); search for loafer returns nothing relevant."
Taylor Stitch,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,178,218,198,1248,NONE,NONE,Shoes,SKIP,https://www.taylorstitch.com,USD,complete,https://www.taylorstitch.com/products.json | https://www.taylorstitch.com/collections/mens-sweaters | https://www.taylorstitch.com/collections/mens-sweaters/products.json | https://www.taylorstitch.com/collections/mens-outerwear/products.json | https://www.taylorstitch.com/collections/mens-boots | https://www.taylorstitch.com/collections/mens-shoes-accessories/products.json,"range sweater: cheapest crewneck is The Crawford Crew Sweater (100% BCI cotton) $178 (storefront shows $178, matches feed; 23 products stated and in feed) but no cashmere or other elevated-fibre crewneck is offered (The Eastmoor Sweater is 100% RWS wool, $178), so plain range of men's sweaters: low $178 (Crawford Crew / Eastmoor), high The Trench Cardigan $218 (Match V-Neck $198, Crawford shawl-collar Sweater $188). range outerwear: the only elevated-material jacket in stock is The Moto Jacket, steerhide only, $1248; suede versions of Ryder ($698), Ojai ($798) and Long Haul ($998) exist in the feed but are sold out/archived, so no current entry/elevated pair. Plain range of available men's outerwear excluding shirt jackets and overshirts (Shop Shirt, Maritime, Kenne, Milton): low The Shore Jacket in Navy Twill / The Ojai Jacket in Foundation Twill $198, high The Moto Jacket $1248. Shoes NONE: Men's Boots collection shows 0 products, no available Footwear-type product; Shoes & Accessories has no footwear."
Outerknown,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,178,348,298,298,NONE,NONE,Shoes,SKIP,https://www.outerknown.com,USD,complete,https://www.outerknown.com/products.json | https://www.outerknown.com/collections/mens-sweaters-sweatshirts/products.json | https://www.outerknown.com/collections/mens-outerwear | https://www.outerknown.com/collections/mens-outerwear/products.json,"range sweater: crewnecks are Nostalgic Sweater (organic cotton waffle, raglan) $178 and Horizon Sweater (Italian wool-blend crewneck) $248, but no cashmere/elevated-fibre crewneck, so plain range of men's sweaters (excluding sweatshirts Hightide Crew $118, Uncharted Waffle Crew knit shirt $128): low Nostalgic Sweater $178, high The Ambassador Sweater (recycled wool cardigan) $348; Pacifica rollneck $188, Sweaterolo $228, Nostalgic Half-Zip $228. Tomales Donegal Crew $298 is FINAL SALE/outlet only, not used. range outerwear: Men's Outerwear shows 8 of 8; Jackets filter shows 1 item - The Woolaroo Jacket $298 (storefront price); others are Blanket Snap Popover $198 (pullover), hoodies and Woolaroo Vest, excluded. No elevated-material jackets. Outerworn items are resale/pre-owned, excluded. Shoes NONE: no footwear product type in the feed and no footwear in men's navigation."
Patagonia,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,159,209,119,899,449,449,-,SKIP,https://www.patagonia.com,USD,complete,https://www.patagonia.com/search/?q=men%27s%20sweater | https://www.patagonia.com/product/mens-recycled-wool-blend-sweater/50655.html | https://www.patagonia.com/shop/mens/jackets-vests?start=0&sz=200 | https://www.patagonia.com/search/?q=shoes | https://www.patagonia.com/product/mens-wild-idea-work-boots/79385.html,"range outerwear, shoes | Storefront tiles (USD). Sweater: low M's Recycled Wool-Blend Sweater $159 (crewneck, recycled wool/nylon; PDP shows $159), high M's Recycled Cashmere Crewneck Sweater $209; Better Sweater Crewneck ($155) is polyester sweater-fleece, excluded. range outerwear: no main-line leather/suede/shearling jacket (M's Shearling ReCrafted Jacket is a Worn Wear upcycled one-off, excluded); men's jackets and vests 162 results (135 names captured), excluding vests, fleece crews/hoodies, pullovers and shirt jackets: low M's Houdini Jacket $119 (Micro D fleece jacket $99 if fleece counts), high M's Stormshadow Parka $899. range shoes: no loafer; only men's non-technical footwear is M's Wild Idea Work Boots $449; wading boots/booties ($145-499, Foot Tractor built with Danner) and wetsuit booties ($109-129) excluded as technical gear."
Finisterre,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,160,205,125,385,NONE,NONE,Shoes,SKIP,https://finisterre.com/en-us,USD,complete,https://finisterre.com/products.json | https://finisterre.com/en-us/products.json | https://finisterre.com/en-us/collections/mens-knitwear | https://finisterre.com/en-us/collections/mens-jackets,"range sweater, outerwear | US storefront (/en-us) shows USD; feed prices equal displayed US prices (Barents Jumper $160, Furlong Crew $175, Forecast Windbreaker $125 checked) although Shopify.currency reports a 1.375 rate from a GBP base. range sweater: all knitwear is wool/merino, no cashmere or other elevated fibre, so plain range of men's knitwear: low Escall Crew Neck Knit Sweater $160 max variant (some colours $155, storefront tile $155) / Finisterre Barents Jumper $160, high Finisterre Mora 1/4 Zip Knit Jumper $205; RNLI Polperro Jumper $220 excluded as RNLI charity collaboration. Storefront states 35 items in men's knitwear. range outerwear: no suede/leather/shearling/cashmere jackets; men's jackets excluding vests/gilets: low Forecast Windbreaker Jacket $125 max variant ($120 some colours), high Surge Field Jacket and Longline Stormbird Waterproof Jacket $385. Shoes NONE: only footwear is XTRATUF + Finisterre Ankle Deck Boot ($166) and VEJA + Finisterre Fitz Roy Trail Shoe ($220), both collaborations. Note one feed product (Columba Cardigan) 404s on the US storefront, so the root feed includes items not sold in the US market."
Faherty,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,168,398,278,1500,228,228,-,SKIP,https://fahertybrand.com,USD,complete,https://fahertybrand.com/products.json | https://fahertybrand.com/products/suede-trucker-midnight-azure,"range sweater: cheapest men's crewneck is Movement Crewneck Sweater regular $168 (currently marked down), then Jackson Crew Sweater $178 and Sunwashed Crewneck Sweater $198-228 (cotton), but no cashmere or other elevated-fibre crewneck is currently offered, so plain range of available Men's Sweaters (excluding sweater tees/polos/shirts): low Movement Crewneck Sweater $168, high Blanket Stripe Zip Sweater and Camp Cardigan $398; artist-collab cardigans (Steven Paul Judd, Thunder Voice Eagle) excluded. Most men's sweaters are currently marked down (end of season). Outerwear: trucker style - low High Ridge Twill Trucker $278, high Suede Trucker $1500 (storefront shows $1,500, matches feed); Studio Jacket pair is $298 twill / $1228 suede, Shearling Coat $1500 has no entry-fabric version. Shoes: only own-label loafer is Reserve Venetian Loafer (suede, Faherty Reserve line) $228 in Tobacco and Chocolate; Birkenstock, Saucony, Quoddy, REEF collabs and Opie Way collab excluded."
Rodd & Gunn,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,128,198,199,798,148,198,-,SKIP,https://www.roddandgunn.com/us,USD,complete,https://www.roddandgunn.com/us/clothing/sweaters?srule=Price%20Low%20to%20High&start=0..120&sz=12 | https://www.roddandgunn.com/us/clothing/sweaters/newall-knit/009610-01.html | https://www.roddandgunn.com/us/clothing/sweaters/quail-rise-knit/009609-01.html | https://www.roddandgunn.com/us/clothing/sweaters/stewart-island-knit/009762-08.html | https://www.roddandgunn.com/us/clothing/jackets-coats?srule=Price%20Low%20to%20High (paged) | https://www.roddandgunn.com/us/footwear?srule=Price%20Low%20to%20High (paged),"US storefront, $USD selector; sz is capped at 12 so pages were walked with start= and Price Low to High sort; tiles are colour-level (sweaters page says 130 products, i.e. colourways). Regular = struck-through price where a tile shows two prices. Sweater: low Gunn Crew Sweater $128; high Stewart Island Knit $198 (crew, Australian wool/30% cashmere blend; merino crews like Hudson/Nobles/Murdoch Knit also $198 regular); pricier knits are not crewnecks: Newall Knit $348 zip cardigan, Quail Rise Knit $298 quarter-zip, Williamson Knit $298 cardigan, Robbies Road Knit $248 zip, Marlin Knit $225 cotton/wool (not elevated); no pure-cashmere crew found. Outerwear: harrington pair, Armitage Jacket $199 (cotton harrington, also the cheapest jacket) vs Mandeville Jacket $798 (leather harrington, sale $499); all leather/suede jackets list at $798; Sports Fit Jackets (blazers) and vests excluded. Shoes (own-label R&G footwear): Marsden Bay Loafer $148 regular (on sale $99), St James Loafer $178, Victoria Loafer $198."
Rowan,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,https://forrowan.com/search?q=,https://forrowan.com,NC,complete,https://forrowan.com/search?q=jeans | https://forrowan.com/search?q=denim,"Search-URL-only row. Tested /search?q=jeans: page states 64 results (Hayden Straight Leg Jean, Cameron Wide Leg Japanese Fluid Denim Pant etc.); denim also returns results. Word that passed: jeans."
Rhone,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,178,498,SKIP,SKIP,-,SKIP,https://www.rhone.com,USD,complete,https://www.rhone.com/collections/mens-jackets-vests/ | https://www.rhone.com/products/mens-quantum-travel-jacket/ | https://www.rhone.com/products/mens-true-north-jacket/ | https://www.rhone.com/products/mens-commuter-topcoat/ | https://www.rhone.com/products/mens-weekender-shacket/,"range outerwear: no jacket style is offered in suede/leather/shearling/cashmere, so plain range. Collection states 47 items but these are colourways of 10 products (Landmark 1/4 Zip, Landmark Overshirt, Quantum Travel Jacket, Commuter Blazer Classic/Slim, True North Vest, Weekender Shacket, Commuter Topcoat, True North Jacket, Long Game Vest). Excluding blazers, vests, overshirt/shacket and 1/4 zip: low Quantum Travel Jacket $178, high Commuter Topcoat $498 (Italian wool; some colours on sale at $298.80, regular $498 used); True North Jacket $208 (some colours $124.80 sale). JSON-LD priceCurrency USD and listing prices agree."
