brand,band,site_domain,platform,search_url_on_file,read_in_full_before,current_prices,range_slots,garment_links_on_file
Duck Head,premium,www.duckhead.com,shopify,https://www.duckhead.com/search?q=,no,"[[44, 98], [98, 148], [118, 148], [178, 178], [118, 198], [128, 288], [168, 598], ""?""]",,7
Wythe,premium,wythe.com,shopify,https://www.wythe.com/search?q=,yes,"[[55, 78], [148, 148], [160, 248], null, [248, 248], [248, 368], [328, 1498], ""?""]",Polo;Shoes,6
AYR,premium,ayr.com,shopify,https://www.ayr.com/search?q=,no,"[[85, 125], [110, 195], [165, 225], [195, 265], [165, 245], [265, 595], [395, 1400], null]",,6
Alex Mill,premium,alexmill.com,shopify,https://www.alexmill.com/search?q=,no,"[[48, 78], [98, 155], [98, 148], [135, 165], [110, 150], [178, 358], [250, 275], null]",Outerwear,7
Robert Barakett,premium,robertbarakett.com,shopify,https://robertbarakett.com/search?q=,yes,"[[69, 99], [99, 248], [148, 158], null, [175, 178], [148, 398], [175, 798], [248, 398]]",,7
Easy Mondays,premium,easymondays.ca,shopify,https://easymondays.ca/search?q=,yes,"[[55, 70], [95, 95], [125, 164], null, [125, 125], ""?"", [255, 255], ""?""]",,4
Indochino,premium,indochino.com,custom,,yes,"[null, null, [139, 199], null, [139, 599], [89, 119], [319, 819], ""?""]",,4
Proper Cloth,premium,propercloth.com,custom,https://propercloth.com/search?q=,yes,"[[75, 195], [145, 350], [125, 325], [195, 395], [185, 895], [145, 375], [195, 795], null]",,7
Tecovas,premium,tecovas.com,shopify,https://www.tecovas.com/search?q=,no,"[[30, 45], [69, 95], [80, 120], [90, 140], [100, 140], [165, 195], [295, 295], [185, 285]]",Sweater,7
Patrick James,premium,patrickjames.com,shopify,https://www.patrickjames.com/search?q=,no,"[[40, 70], [80, 130], [110, 170], [120, 180], [130, 200], [138, 428], [268, 698], [248, 248]]",Outerwear,8
Barbour,premium,barbour.com,salesforce_commerce,https://www.barbour.com/us/search?q=,yes,"[[50, 110], [85, 160], [100, 200], null, [145, 270], [120, 330], [165, 700], ""?""]",Shoes,6
Baracuta,premium,us.baracuta.com,shopify,https://www.baracuta.com/search?q=,no,"[[110, 180], [140, 300], [135, 380], null, [175, 250], [225, 225], [405, 910], null]",Sweater,6
Filson,premium,filson.com,shopify,,no,"[[50, 85], [90, 130], [120, 180], [130, 180], [120, 180], [199, 259], [199, 1199], null]",Sweater;Outerwear,6
James Perse,premium,jamesperse.com,shopify,https://www.jamesperse.com/search?q=,no,"[[60, 220], [55, 120], [140, 220], [185, 265], [175, 295], [325, 595], [425, 1995], [450, 1095]]",,8
Y.Chroma,premium,ychroma.com,shopify,https://www.ychroma.com/search?q=,no,"[[95, 150], [130, 190], [180, 280], [200, 280], [180, 320], [299, 499], [399, 1249], null]",Outerwear;Sweater,6
Madhappy,premium,madhappy.com,shopify,https://www.madhappy.com/search?q=,no,"[[55, 85], [90, 130], null, [150, 220], [130, 180], ""?"", ""?"", ""?""]",,3
Kith,premium,kith.com,shopify,https://kith.com/search?q=,no,"[[55, 95], [95, 150], [130, 190], [160, 250], [140, 220], [175, 175], [245, 1495], null]",Sweater,7
Aimé Leon Dore,premium,aimeleondore.com,shopify,,no,"[[85, 150], [225, 295], [175, 275], [250, 280], [160, 260], [300, 400], [300, 1300], [395, 500]]",Sweater;Outerwear,5
Massimo Dutti,accessible,massimodutti.com,custom,,no,"[[46, 90], [70, 110], [90, 130], [100, 130], [100, 150], [100, 590], [160, 690], [200, 320]]",Outerwear,8
Vineyard Vines,accessible,vineyardvines.com,salesforce_commerce,https://www.vineyardvines.com/search?q=,no,"[[42, 58], [85, 120], [110, 145], [110, 160], [100, 150], [108, 108], [168, 178], ""?""]",Outerwear;Shoes,7
Polo Ralph Lauren,accessible,ralphlauren.com,salesforce_commerce,https://www.ralphlauren.com/search?q=,no,"[[60, 90], [110, 138], [125, 165], [148, 198], [110, 168], [130, 498], [185, 798], [168, 548]]",,8
RRL,accessible,ralphlauren.com,salesforce_commerce,https://www.ralphlauren.com/search?q=,no,"[[75, 195], [150, 250], [240, 450], [260, 390], [220, 380], [395, 395], [495, 2200], ""?""]",Sweater;Shoes,6
J.McLaughlin,accessible,jmclaughlin.com,shopify,https://www.jmclaughlin.com/search?q=,no,"[[45, 75], [85, 135], [115, 165], [125, 175], [115, 185], [298, 328], [898, 998], [328, 565]]",Outerwear,6
Peter Millar,accessible,petermillar.com,salesforce_commerce,https://www.petermillar.com/search?q=,no,"[[65, 95], [95, 135], [130, 180], [150, 225], [140, 225], [235, 998], [278, 1398], [250, 395]]",,8
Ted Baker,accessible,tedbaker.com,shopify,,no,"[[50, 75], [80, 120], [110, 160], [130, 180], [130, 200], [175, 295], [325, 875], [190, 190]]",,7
Scotch & Soda,accessible,scotchandsoda.com,shopify,,no,"[[45, 70], [80, 110], [100, 140], [120, 180], [110, 160], [98, 198], [178, 898], [108, 108]]",Sweater,8
NN07,accessible,nn07.com,custom,,no,"[[55, 90], [150, 330], [120, 305], [250, 265], [195, 295], [210, 410], [420, 1900], null]",,7
Samsøe Samsøe,accessible,samsoe.com,custom,https://www.samsoe.com/en-US/search?q=,yes,"[[55, 145], [165, 225], [160, 255], [225, 270], [180, 280], [170, 380], [180, 975], [240, 525]]",,8
Les Deux,accessible,lesdeux.us,shopify,https://lesdeux.us/search?q=,yes,"[[49, 99], [129, 189], [139, 189], [159, 219], [139, 189], [149, 279], [299, 829], [289, 289]]",,8
Norse Projects,accessible,norseprojects.com,shopify,https://www.norseprojects.com/search?q=,no,"[[60, 90], [215, 360], [140, 200], [160, 240], [150, 220], [270, 395], [395, 1600], null]",Outerwear,6
Vollebak,accessible,vollebak.com,shopify,https://vollebak.com/search?q=,no,"[[110, 160], [145, 220], [250, 380], [400, 600], [295, 495], [395, 395], [3295, 4295], null]",,5
Stone Island,accessible,stoneisland.com,salesforce_commerce,,no,"[[120, 190], [190, 280], [250, 350], [300, 450], [250, 400], [420, 1425], [900, 6250], ""?""]",Shoes,5
A Bathing Ape,accessible,us.bape.com,shopify,https://us.bape.com/search?q=,yes,"[[99, 285], [239, 239], [275, 535], [369, 655], null, ""?"", [475, 1905], [299, 359]]",,5
Canada Goose,accessible,canadagoose.com,salesforce_commerce,https://www.canadagoose.com/us/en/search?q=,no,"[[80, 125], [125, 175], null, null, [200, 300], [375, 575], [550, 2075], ""?""]",Outerwear;Shoes,4
Arc'teryx,accessible,arcteryx.com,custom,https://arcteryx.com/us/en/search?q=,no,"[[50, 90], [150, 217], [250, 400], null, [130, 350], null, [180, 1200], ""?""]",Outerwear;Shoes,5
Vince,accessible,vince.com,salesforce_commerce,https://www.vince.com/search?q=,no,"[[65, 115], [115, 175], [165, 265], [195, 295], [195, 325], [298, 448], [498, 1598], [225, 298]]",,8
Rails,accessible,rails.com,shopify,https://www.rails.com/search?q=,no,"[[60, 90], [100, 150], [150, 220], [180, 250], [150, 220], [168, 268], [198, 398], null]",Outerwear,7
PAIGE,accessible,paige.com,shopify,,no,"[[70, 100], [110, 160], [150, 220], [190, 270], [170, 250], [229, 249], [289, 929], ""?""]",Sweater,7
AG,accessible,agjeans.com,shopify,https://www.agjeans.com/search?q=,no,"[[60, 90], [100, 140], [140, 200], [190, 280], [160, 240], [185, 185], [245, 895], null]",Sweater,7
Ksubi,accessible,ksubi.com,shopify,https://ksubi.com/search?q=,no,"[[70, 100], null, [150, 220], [200, 300], [150, 300], [240, 240], [420, 1000], null]",Sweater,5
Purple,accessible,purple-brand.com,shopify,https://purple-brand.com/search?q=,no,"[[65, 110], null, [140, 220], [250, 400], [172, 350], [350, 395], [395, 1295], ""?""]",Shoes,5
Diesel,accessible,diesel.com,salesforce_commerce,,no,"[[50, 90], [90, 140], [120, 180], [150, 350], [130, 220], [295, 550], [350, 1395], [250, 495]]",,8
Citizens of Humanity,accessible,citizensofhumanity.com,shopify,https://citizensofhumanity.com/search?q=,no,"[[55, 85], [95, 135], [140, 190], [190, 280], [160, 230], null, [328, 798], null]",Outerwear,6
AGOLDE,accessible,agolde.com,shopify,https://agolde.com/search?q=,no,"[[60, 90], [118, 280], [150, 220], [190, 290], [170, 250], null, [348, 995], null]",Outerwear,6
Fidelity Denim,accessible,fidelitydenim.com,shopify,https://fidelitydenim.com/search?q=,no,"[[60, 90], null, null, [168, 268], null, null, null, null]",,2
Joe's Jeans,accessible,joesjeans.com,shopify,https://www.joesjeans.com/search?q=,no,"[[50, 80], null, [128, 198], [178, 228], [158, 198], [278, 278], [218, 998], null]",,6
Suitsupply,accessible,suitsupply.com,shopify,https://suitsupply.com/en-us/search?q=,no,"[[69, 229], [70, 110], [100, 140], [120, 170], [120, 200], [109, 269], [399, 699], [249, 299]]",,8
Boggi Milano,accessible,boggi.com,salesforce_commerce,https://www.boggi.com/en-us/search?q=,no,"[[60, 90], [85, 120], [120, 160], null, [130, 180], [198, 268], [848, 1048], [328, 448]]",,7
Hackett,accessible,hackett.com,salesforce_commerce,https://www.hackett.com/uk/en_gb/search?q=,yes,"[[83, 98], [140, 200], [140, 215], [215, 245], [350, 350], [215, 275], [515, 755], [170, 560]]",,8
Eton,accessible,etonshirts.com,custom,,yes,"[[130, 250], [170, 450], [250, 550], null, null, [350, 695], [495, 1495], null]",,5
Rakho,accessible,rakho.nyc,custom,,no,"[null, null, ""?"", ""?"", ""?"", ""?"", ""?"", ""?""]",,2
Eleventy,accessible,eleventymilano.com,shopify,https://www.eleventymilano.com/en-us/search?q=,no,"[[250, 379], [245, 595], [325, 495], [580, 795], [345, 695], [595, 1795], [1195, 2995], [795, 1295]]",,8
Borgo28,accessible,borgo28.com,shopify,https://borgo28.com/search?q=,no,"[[78, 178], [98, 298], [95, 295], [175, 478], [135, 298], [148, 348], [175, 725], ""?""]",,6
Incotex,accessible,slowear.com,shopify,https://www.slowear.com/en-us/search?q=,yes,"[null, null, null, [349, 478], [360, 695], ""?"", [1145, 1680], ""?""]",,3
Jack Victor,accessible,jackvictor.com,shopify,https://jackvictor.com/search?q=,yes,"[[178, 178], [228, 298], [198, 298], null, [198, 348], [228, 498], [648, 1198], null]",,6
Brooks Brothers,accessible,brooksbrothers.com,salesforce_commerce,https://www.brooksbrothers.com/search?q=,no,"[[35, 60], [70, 198], [100, 150], [110, 160], [120, 200], [148, 498], [198, 1298], [199, 248]]",,8
J.Press,accessible,jpress.com,shopify,https://jpressonline.com/search?q=,no,"[[45, 75], [98, 145], [135, 185], [150, 225], [165, 295], [138, 1495], [1295, 1950], null]",,6
Sunspel,accessible,sunspel.com,shopify,https://us.sunspel.com/search?q=,no,"[[85, 120], [125, 175], [165, 235], [195, 265], [165, 245], [275, 1295], [415, 1595], [300, 365]]",,7
Saint James,accessible,us.saint-james.com,shopify,https://us.saint-james.com/search?q=,no,"[[85, 199], null, [195, 195], null, null, [200, 515], [155, 955], ""?""]",,4
Merz b. Schwanen,accessible,www.merzbschwanen.com,shopify,https://www.merzbschwanen.com/search?q=,no,"[[70, 175], [120, 250], null, null, [225, 310], [150, 325], [230, 495], ""?""]",,5
Margaret Howell,accessible,margarethowell.co.uk,shopify,https://www.margarethowell.co.uk/search?q=,no,"[[120, 180], [200, 350], [300, 450], [495, 500], [300, 450], [415, 640], [645, 1900], null]",Outerwear,6
Reiss,accessible,reiss.com,custom,https://www.reiss.com/us/en/search?q=,no,"[[55, 85], [95, 145], [120, 180], [150, 220], [150, 250], [175, 440, ""USD_landed""], [315, 785, ""USD_landed""], [230, 355, ""USD_landed""]]",,8
Sandro,accessible,us.sandro-paris.com,salesforce_commerce,https://us.sandro-paris.com/en/search?q=,yes,"[[155, 200], [175, 470], [260, 630], [315, 390], [470, 530], [315, 580], [420, 1905], [230, 545]]",,8
Isabel Marant,accessible,us.isabelmarant.com,shopify,https://us.isabelmarant.com/search?q=,no,"[[120, 190], [195, 283], [260, 420], [300, 450], [280, 450], [440, 880], [630, 1990], [880, 880]]",Outerwear,7
Frame,accessible,frame-store.com,shopify,https://frame-store.com/search?q=,no,"[[98, 138], [128, 400], [248, 300], [208, 300], [180, 280], [398, 598], [448, 1698], null]",,7
Theory,accessible,theory.com,salesforce_commerce,https://www.theory.com/search?q=,no,"[[60, 195], [105, 214], [145, 225], [175, 255], [175, 285], [225, 345], [365, 1295], ""?""]",,7
Rag & Bone,accessible,rag-bone.com,salesforce_commerce,https://www.rag-bone.com/search?q=,no,"[[65, 110], [115, 248], [155, 395], [195, 295], [175, 275], [238, 528], [348, 998], [428, 428]]",,8
John Varvatos,accessible,johnvarvatos.com,salesforce_commerce,https://www.johnvarvatos.com/search?q=,no,"[[68, 98], [118, 268], [148, 228], [198, 298], [178, 268], [198, 698], [398, 698], [498, 598]]",,8
Sid Mashburn,accessible,shopmashburn.com,shopify,,no,"[[55, 85], [95, 145], [125, 195], [165, 235], [165, 395], [195, 450], [395, 1395], [295, 595]]",,8
Billy Reid,accessible,billyreid.com,shopify,https://www.billyreid.com/search?q=,no,"[[88, 138], [148, 228], [178, 268], [228, 328], [198, 328], [198, 448], [598, 1598], [448, 448]]",,8
A.P.C.,accessible,apc-us.com,shopify,https://www.apc-us.com/search?q=,no,"[[75, 115], [125, 185], [165, 245], [210, 320], [190, 290], [350, 420], [440, 1750], [490, 490]]",Outerwear,8
Luca Faloni,accessible,lucafaloni.com,custom,https://lucafaloni.com/search?q=,yes,"[[165, 185], [160, 450], [210, 345], [195, 275], [325, 360], [375, 525], [360, 2995], null]",,7
120% Lino,accessible,120percento.com,shopify,https://120percento.com/search?q=,yes,"[[235, 235], null, [255, 375], null, [385, 415], [385, 385], [635, 895], null]",,5
Paul Smith,accessible,paulsmith.com,custom,,no,"[[70, 120], [120, 250], [160, 250], [200, 320], [190, 320], [250, 725], [895, 2595], [290, 595]]",,8
Officine Générale,accessible,us.officinegenerale.com,shopify,https://www.officinegenerale.com/search?q=,no,"[[90, 195], [140, 200], [190, 345], [240, 340], [230, 340], [495, 495, ""USD_landed""], [595, 1495, ""USD_landed""], null]",,6
Brax,accessible,brax.com,custom,https://www.brax.com/en/us/search?q=,no,"[""?"", ""?"", ""?"", [198, 228], [198, 248], ""?"", ""?"", ""?""]",,2
Hartford,accessible,hartford.fr,shopify,https://hartford.fr/en-us/search?q=,yes,"[[110, 185], [160, 300], [200, 325], null, [280, 360], [255, 650], [255, 1350], null]",,6
Our Legacy,accessible,ourlegacy.com,custom,,no,"[[140, 207], [150, 240], [220, 425], [280, 580], [260, 400], [420, 550, ""USD_landed""], [720, 2450, ""USD_landed""], [550, 680, ""USD_landed""]]",,7
Auralee,accessible,auralee.jp,custom,https://auralee.jp/item?freeword=,no,"[[95, 160], [160, 550], [240, 720], [300, 450], [280, 450], [534, 792, ""USD_landed""], [792, 5071, ""USD_landed""], [1078, 1353, ""USD_landed""]]",,8
Ami Paris,accessible,amiparis.com,shopify,,no,"[[95, 160], [160, 260], [230, 350], [280, 420], [260, 420], [430, 690], [680, 2650], [730, 730]]",Outerwear,8
Todd Snyder,accessible,toddsnyder.com,shopify,https://www.toddsnyder.com/search?q=,no,"[[48, 88], [98, 158], [128, 208], [178, 268], [168, 298], [248, 998], [398, 1298], [248, 798]]",,8
Boglioli,accessible,bogliolimilano.com,shopify,https://www.bogliolimilano.com/en-us/search?q=,no,"[[95, 184], [160, 439], [220, 620], [280, 400], [280, 450], [675, 1775], [900, 2550], null]",,6
Peserico,accessible,us.peserico.com,shopify,https://it.peserico.com/search?q=,yes,"[[325, 509], [515, 609], [475, 675], [515, 635], [529, 845], [505, 925], [815, 2005], [815, 959]]",,7
Ring Jacket,accessible,ringjacket.co.jp,custom,https://www.ringjacket.co.jp/p/search?keyword=,no,"[[150, 250], [200, 350], [200, 300], [300, 500], [300, 450], [99000, 99000, ""JPY""], [385000, 440000, ""JPY""], ""?""]",Outerwear,4
Drake's,accessible,us.drakes.com,shopify,https://www.drakes.com/search?q=,no,"[[85, 135], [450, 495], [295, 425], [419, 662], [310, 450], [345, 1065], [985, 2525], [575, 1065]]",,8
John Smedley,accessible,johnsmedley.com,custom,https://www.johnsmedley.com/en-us/search?q=,yes,"[[295, 350], [350, 495], null, null, null, [375, 710], [365, 820], null]",,4
Gran Sasso,accessible,shop.gransasso.it,custom,https://shop.gransasso.it/en/search?q=,yes,"[[230, 250], [400, 460], [390, 390], null, [540, 540], [380, 860], [920, 1330], [510, 670]]",,7
Raffi,accessible,raffionline.com,shopify,https://www.raffionline.com/search?q=,yes,"[[95, 130], [110, 275], [150, 185], null, null, [150, 680], [185, 680], null]",,5
BOSS,accessible,hugoboss.com,salesforce_commerce,https://www.hugoboss.com/us/search?text=,yes,"[[49, 349], [99, 399], [129, 399], [129, 449], [159, 649], [159, 549], [349, 2499], [170, 799]]",,8
Corneliani,trueLux,corneliani.com,magento,,no,"[[120, 180], [180, 280], [250, 380], [300, 450], [495, 595], [595, 1125], [1550, 4595], [595, 975]]",,8
Canali,trueLux,us.canali.com,custom,,no,"[[120, 190], [190, 320], [295, 425], [320, 480], [320, 550], [625, 1195], [1995, 8095], [625, 950]]",,8
Thom Browne,trueLux,thombrowne.com,shopify,,no,"[[520, 760], [590, 1395], [790, 890], [850, 1128], [540, 1430], [970, 1750], [1650, 5350], [790, 1360]]",,8
Burberry,trueLux,us.burberry.com,custom,https://us.burberry.com/search?search=,no,"[[395, 690], [395, 690], [510, 795], [790, 1283], [650, 1200], [885, 1395], [1495, 4450], [920, 995]]",,8
Herno,trueLux,us.herno.com,salesforce_commerce,,no,"[[119, 255], [207, 655], [465, 465], null, [320, 430], [495, 870], [995, 1685], ""?""]",Shoes,6
Valstar,trueLux,valstarmilano.com,shopify,https://valstarmilano.com/en-us/search?q=,yes,"[null, null, null, null, null, [1040, 1155], [700, 4930], ""?""]",,2
Aspesi,trueLux,aspesi.com,shopify,https://www.aspesi.com/search?q=,no,"[[110, 265], [159, 300], [250, 765], [282, 409], [249, 486], [265, 775], [515, 1365], null]",Outerwear,7
Paul & Shark,trueLux,paulandshark.com,salesforce_commerce,,no,"[[95, 165], [265, 775], [150, 350], [180, 280], [180, 300], [350, 795], [745, 1595], ""?""]",Shoes,7
Sease,trueLux,sease.it,shopify,https://sease.it/en/search?q=,yes,"[[270, 1100], [460, 650], [615, 985], [755, 755], [815, 1400], [1050, 2300], [3600, 6550], null]",,6
Moncler,trueLux,moncler.com,salesforce_commerce,,no,"[[310, 450], [350, 770], [840, 1495], [752, 1230], [640, 820], [795, 1195], [1435, 5410], ""?""]",Shoes;Sweater,6
Ferragamo,trueLux,ferragamo.com,custom,,yes,"[[430, 560], [460, 1890], [630, 1250], [1150, 1150], [890, 1390], [1250, 1990], [1690, 5100], [750, 1590]]",,7
Giorgio Armani,trueLux,armani.com,custom,https://www.armani.com/en-us/search?q=,no,"[[375, 1025], [375, 925], [545, 2095], [675, 1395], [795, 1895], [975, 4195], [1195, 9300], [745, 1395]]",,8
Missoni,trueLux,missoni.com,salesforce_commerce,https://www.missoni.com/en-us/search?q=,no,"[[460, 710], [550, 1240], [500, 2230], [670, 710], [694, 740], [880, 2130], [2450, 4790], ""?""]",Shoes,6
Etro,trueLux,etro.com,salesforce_commerce,https://www.etro.com/us-en/search?q=,yes,"[[350, 925], [325, 1675], [395, 1700], [750, 1025], [590, 2100], [600, 2300], [1075, 8900], [650, 1350]]",,8
Versace,trueLux,versace.com,salesforce_commerce,https://www.versace.com/us/en/search?q=,no,"[[425, 1225], [495, 1125], [1175, 1990], [850, 1175], [1375, 1390], [995, 1850], [1850, 6890], [795, 1425]]",,8
