brand,tee_url,polo_url,dress_shirt_url,jeans_url,dress_pants_url,sweater_url,outerwear_url,shoes_url,site_domain,search_url_on_file,source,note
Vince,NC,NC,NC,NC,NC,NC,NC,NC,vince.com,https://www.vince.com/search?q=,NC,NC
Rails,NC,NC,NC,NC,NC,NC,NC,NONE,rails.com,https://www.rails.com/search?q=,NC,NC
Club Monaco,NC,NC,NC,NC,NC,NC,NC,NONE,clubmonaco.com,https://www.clubmonaco.com/search?q=,NC,NC
PAIGE,NC,NC,NC,NC,NC,NC,NC,NONE,paige.com,https://www.paige.com/search?q=,NC,NC
AG,NC,NC,NC,NC,NC,NC,NC,NONE,agjeans.com,https://www.agjeans.com/search?q=,NC,NC
Ksubi,NC,NONE,NC,NC,NC,NC,NC,NONE,ksubi.com,https://ksubi.com/search?q=,NC,NC
Purple,NC,NONE,NC,NC,NC,NC,NC,NONE,purple-brand.com,https://purple-brand.com/search?q=,NC,NC
Diesel,NC,NC,NC,NC,NC,NC,NC,NC,diesel.com,https://www.diesel.com/en/search/?q=,NC,NC
Citizens of Humanity,NC,NC,NC,NC,NC,NONE,NC,NONE,citizensofhumanity.com,https://citizensofhumanity.com/search?q=,NC,NC
AGOLDE,NC,NC,NC,NC,NC,NONE,NC,NONE,agolde.com,https://agolde.com/search?q=,NC,NC
Fidelity Denim,NC,NONE,NONE,NC,NONE,NONE,NONE,NONE,fidelitydenim.com,https://fidelitydenim.com/search?q=,NC,NC
Joe's Jeans,NC,NONE,NC,NC,NC,NC,NC,NONE,joesjeans.com,https://www.joesjeans.com/search?q=,NC,NC
Suitsupply,NC,NC,NC,NC,NC,NC,NC,NC,suitsupply.com,https://suitsupply.com/en-us/search?q=,NC,NC
Boggi Milano,NC,NC,NC,NONE,NC,NC,NC,NC,boggi.com,https://www.boggi.com/en-us/search?q=,NC,NC
Hackett,NC,NC,NC,NC,NC,NC,NC,NC,hackett.com,https://www.hackett.com/uk/en_gb/search?q=,NC,NC
Eton,NC,NC,NC,NONE,NONE,NC,NC,NONE,etonshirts.com,https://www.etonshirts.com/us/search?q=,NC,NC
Rakho,NONE,NONE,NC,NC,NC,NONE,NC,NONE,rakho.nyc,,NC,NC
Eleventy,NC,NC,NC,NC,NC,NC,NC,NC,eleventymilano.com,https://www.eleventymilano.com/en-us/search?q=,NC,NC
Borgo28,NC,NC,NC,NC,NC,NC,NC,NONE,borgo28.com,https://borgo28.com/search?q=,NC,NC
Incotex,NONE,NONE,NONE,NC,NC,NONE,NC,NONE,slowear.com,https://www.slowear.com/en-us/search?q=,NC,NC
Jack Victor,NC,NC,NC,NONE,NC,NC,NC,NONE,jackvictor.com,https://jackvictor.com/search?q=,NC,NC
Brooks Brothers,NC,NC,NC,NC,NC,NC,NC,NC,brooksbrothers.com,https://www.brooksbrothers.com/search?q=,NC,NC
J.Press,NC,NC,NC,NC,NC,NC,NC,NONE,jpress.com,https://jpressonline.com/search?q=,NC,NC
Sunspel,NC,NC,NC,NC,NC,NC,NC,NC,sunspel.com,https://us.sunspel.com/search?q=,NC,NC
Saint James,NC,NONE,NC,NONE,NONE,NC,NC,NONE,us.saint-james.com,https://us.saint-james.com/search?q=,NC,NC
Merz b. Schwanen,NC,NC,NONE,NONE,NC,NC,NC,NONE,www.merzbschwanen.com,https://www.merzbschwanen.com/search?q=,NC,NC
Margaret Howell,NC,NC,NC,NC,NC,NC,NC,NONE,margarethowell.co.uk,https://www.margarethowell.co.uk/search?q=,NC,NC
Reiss,NC,NC,NC,NC,NC,NC,NC,NC,reiss.com,https://www.reiss.com/us/en/search?q=,NC,NC
Sandro,NC,NC,NC,NC,NC,NC,NC,NC,us.sandro-paris.com,https://us.sandro-paris.com/en/search?q=,NC,NC
Isabel Marant,NC,NC,NC,NC,NC,NC,NC,NC,isabelmarant.com,https://us.isabelmarant.com/search?q=,NC,NC
Frame,NC,NC,NC,NC,NC,NC,NC,NONE,frame-store.com,https://frame-store.com/search?q=,NC,NC
Theory,NC,NC,NC,NC,NC,NC,NC,NONE,theory.com,https://www.theory.com/search?q=,NC,NC
Rag & Bone,NC,NC,NC,NC,NC,NC,NC,NC,rag-bone.com,https://www.rag-bone.com/search?q=,NC,NC
John Varvatos,NC,NC,NC,NC,NC,NC,NC,NC,johnvarvatos.com,https://www.johnvarvatos.com/search?q=,NC,NC
Sid Mashburn,NC,NC,NC,NC,NC,NC,NC,NC,shopmashburn.com,https://www.sidmashburn.com/search?q=,NC,NC
Billy Reid,NC,NC,NC,NC,NC,NC,NC,NC,billyreid.com,https://www.billyreid.com/search?q=,NC,NC
A.P.C.,NC,NC,NC,NC,NC,NC,NC,NC,apc-us.com,https://www.apc-us.com/search?q=,NC,NC
Luca Faloni,NC,NC,NC,NC,NC,NC,NC,NONE,lucafaloni.com,https://lucafaloni.com/search?q=,NC,NC
120% Lino,NC,NONE,NC,NONE,NC,NC,NC,NONE,120percento.com,https://120percento.com/search?q=,NC,NC
Paul Smith,NC,NC,NC,NC,NC,NC,NC,NC,paulsmith.com,https://www.paulsmith.com/us/search?q=,NC,NC
Officine Générale,NC,NC,NC,NC,NC,NC,NC,NONE,us.officinegenerale.com,https://www.officinegenerale.com/search?q=,NC,NC
Brax,NC,NC,NC,NC,NC,NC,NC,NONE,brax.com,https://www.brax.com/en/us/search?q=,NC,NC
Hartford,NC,NC,NC,NONE,NC,NC,NC,NONE,hartford.fr,https://hartford.fr/en-us/search?q=,NC,NC
Our Legacy,NC,NC,NC,NC,NC,NC,NC,NC,ourlegacy.com,https://www.ourlegacy.com/search?q=,NC,NC
Auralee,NC,NC,NC,NC,NC,NC,NC,NC,auralee.jp,https://auralee.jp/item?freeword=,NC,NC
Ami Paris,NC,NC,NC,NC,NC,NC,NC,NC,amiparis.com,https://www.amiparis.com/us/search?q=,NC,NC
Todd Snyder,NC,NC,NC,NC,NC,NC,NC,NC,toddsnyder.com,https://www.toddsnyder.com/search?q=,NC,NC
Boglioli,NC,NC,NC,NC,NC,NC,NC,NONE,bogliolimilano.com,https://www.bogliolimilano.com/en-us/search?q=,NC,NC
Peserico,NC,NC,NC,NC,NC,NC,NC,NC,it.peserico.com,https://it.peserico.com/search?q=,NC,NC
Ring Jacket,NC,NC,NC,NC,NC,NC,NC,NONE,ringjacket.co.jp,https://www.ringjacket.co.jp/p/search?keyword=,NC,NC
Drake's,NC,NC,NC,NC,NC,NC,NC,NC,us.drakes.com,https://www.drakes.com/search?q=,NC,NC
John Smedley,NC,NC,NONE,NONE,NONE,NC,NC,NONE,johnsmedley.com,https://www.johnsmedley.com/en-us/search?q=,NC,NC
Gran Sasso,NC,NC,NC,NONE,NC,NC,NC,NC,shop.gransasso.it,https://shop.gransasso.it/en/search?q=,NC,NC
Johnstons of Elgin,NC,NC,NC,NONE,NC,NC,NC,NONE,johnstonsofelgin.com,https://johnstonsofelgin.com/en-us/search?q=,NC,NC
Raffi,NC,NC,NC,NONE,NONE,NC,NC,NONE,raffionline.com,https://www.raffionline.com/search?q=,NC,NC
BOSS,NC,NC,NC,NC,NC,NC,NC,NC,hugoboss.com,https://www.hugoboss.com/us/search?text=,NC,NC
Corneliani,NC,NC,NC,NC,NC,NC,NC,NC,corneliani.com,https://www.corneliani.com/en/search?q=,NC,NC
Canali,NC,NC,NC,NC,NC,NC,NC,NC,us.canali.com,https://www.canali.com/en_us/search?q=,NC,NC
Thom Browne,NC,NC,NC,NC,NC,NC,NC,NC,thombrowne.com,https://www.thombrowne.com/en-us/search?q=,NC,NC
Burberry,NC,NC,NC,NC,NC,NC,NC,NC,us.burberry.com,https://us.burberry.com/search?search=,NC,NC
Herno,NC,NC,NC,NONE,NC,NC,NC,NONE,us.herno.com,https://www.herno.com/en-us/search?q=,NC,NC
Valstar,NONE,NONE,NONE,NONE,NONE,NC,NC,NONE,valstarmilano.com,https://valstarmilano.com/en-us/search?q=,NC,NC
Aspesi,NC,NC,NC,NC,NC,NC,NC,NONE,aspesi.com,https://www.aspesi.com/search?q=,NC,NC
Paul & Shark,NC,NC,NC,NC,NC,NC,NC,NONE,paulandshark.com,https://www.paulandshark.com/en-us/search?q=,NC,NC
Sease,NC,NC,NC,NC,NC,NC,NC,NONE,sease.it,https://sease.it/en/search?q=,NC,NC
Moncler,NC,NC,NC,NC,NC,NC,NC,NONE,moncler.com,https://www.moncler.com/en-us/search?text=,NC,NC
Ferragamo,NC,NC,NC,NC,NC,NC,NC,NC,ferragamo.com,,NC,NC
Giorgio Armani,NC,NC,NC,NC,NC,NC,NC,NC,armani.com,https://www.armani.com/en-us/search?q=,NC,NC
Missoni,NC,NC,NC,NC,NC,NC,NC,NONE,missoni.com,https://www.missoni.com/en-us/search?q=,NC,NC
Etro,NC,NC,NC,NC,NC,NC,NC,NC,etro.com,https://www.etro.com/us-en/search?q=,NC,NC
Versace,NC,NC,NC,NC,NC,NC,NC,NC,versace.com,https://www.versace.com/us/en/search?q=,NC,NC
Dolce&Gabbana,NC,NC,NC,NC,NC,NC,NC,NC,dolcegabbana.com,https://www.dolcegabbana.com/en-us/search/?q=,NC,NC
Fendi,NC,NC,NC,NC,NC,NC,NC,NC,fendi.com,https://www.fendi.com/us-en/search?q=,NC,NC
Valentino,NC,NC,NC,NC,NC,NC,NC,NC,valentino.com,https://www.valentino.com/en-us/search?q=,NC,NC
Saint Laurent,NC,NC,NC,NC,NC,NC,NC,NC,ysl.com,https://www.ysl.com/en-us/search?q=,NC,NC
Celine,NC,NONE,NC,NC,NC,NC,NC,NC,celine.com,https://www.celine.com/en-us/search?q=,NC,NC
Givenchy,NC,NC,NC,NC,NC,NC,NC,NC,www.givenchy.com,https://www.givenchy.com/us/en-US/search?q=,NC,NC
Gucci,NC,NC,NC,NC,NC,NC,NC,NC,www.gucci.com,https://www.gucci.com/us/en/search?searchString=,NC,NC
Balenciaga,NC,NC,NC,NC,NC,NC,NC,NC,www.balenciaga.com,https://www.balenciaga.com/en-us/search?q=,NC,NC
McQueen,NC,NC,NC,NC,NC,NC,NC,NC,www.alexandermcqueen.com,https://www.alexandermcqueen.com/en-us/search?q=,NC,NC
Maison Margiela,NC,NC,NC,NC,NC,NC,NC,NC,www.maisonmargiela.com,https://www.maisonmargiela.com/en-us/search?q=,NC,NC
Rick Owens,NC,NONE,NC,NC,NC,NC,NC,NONE,www.rickowens.eu,https://www.rickowens.eu/en/US/search?q=,NC,NC
Yohji Yamamoto,NC,NONE,NC,NC,NC,NC,NC,NONE,theshopyohjiyamamoto.com,https://theshopyohjiyamamoto.com/search?q=,NC,NC
Comme des Garçons,NC,NC,NC,NC,NC,NC,NC,NC,www.comme-des-garcons.com,,NC,NC
Junya Watanabe,NC,NC,NC,NC,NC,NC,NC,NC,www.comme-des-garcons.com/junyawatanabeman.html,,NC,NC
Sacai,NC,NC,NC,NC,NC,NC,NC,NC,www.sacai.jp,https://www.sacai.jp/search?q=,NC,NC
Casablanca,NC,NC,NC,NC,NC,NONE,NC,NC,casablancaparis.com,https://casablancaparis.com/search?q=,NC,NC
Jacquemus,NC,NC,NC,NC,NC,NC,NC,NC,www.jacquemus.com,https://www.jacquemus.com/search?q=,NC,NC
Prada,NC,NC,NC,NC,NC,NC,NC,NC,www.prada.com,https://www.prada.com/us/en/search.html?q=,NC,NC
Loewe,NC,NC,NC,NC,NC,NC,NC,NC,www.loewe.com,https://www.loewe.com/usa/en/search?q=,NC,NC
JW Anderson,NC,NC,NC,NC,NC,NC,NC,NC,www.jwanderson.com,https://www.jwanderson.com/search?q=,NC,NC
Dior,NC,NC,NC,NC,NC,NC,NC,NC,www.dior.com,https://www.dior.com/en_us/fashion/search/,NC,NC
Amiri,NC,NC,NC,NC,NC,NC,NC,NC,amiri.com,https://www.amiri.com/search?q=,NC,NC
Rhude,NC,NC,NC,NC,NC,NONE,NC,NONE,rh-ude.com,https://rhude.com/search?q=,NC,NC
Palm Angels,NC,NC,NC,NC,NC,NC,NC,NONE,www.palmangels.com,https://www.palmangels.com/search?q=,NC,NC
Golden Goose,NC,NC,NC,NC,NC,NC,NC,NC,www.goldengoose.com,,NC,NC
Fear of God,NC,NC,NC,NC,NC,NC,NC,NONE,fearofgod.com,https://fearofgod.com/search?q=,NC,NC
Bode,NC,NC,NC,NC,NC,NC,NC,NC,bode.com,https://www.bodenewyork.com/search?q=,NC,NC
Greg Lauren,NC,NONE,NC,NC,NC,NONE,NC,NONE,greglauren.com,https://greglauren.com/search?q=,NC,NC
Visvim,NC,NC,NC,NC,NC,NC,NC,NC,shop.visvim.com,https://shop.visvim.com/search?keywords=,NC,NC
Tom Ford,NC,NC,NC,NC,NC,NC,NC,NC,www.tomfordfashion.com,https://www.tomfordfashion.com/search?q=,NC,NC
Ralph Lauren Purple Label,NC,NC,NC,NC,NC,NC,NC,NC,www.ralphlauren.com,https://www.ralphlauren.com/search?q=,NC,NC
Zegna,NC,NC,NC,NC,NC,NC,NC,NC,www.zegna.com,https://www.zegna.com/us-en/search?q=,NC,NC
Bottega Veneta,NC,NC,NC,NC,NC,NC,NC,NC,www.bottegaveneta.com,https://www.bottegaveneta.com/en-us/search?q=,NC,NC
Berluti,NC,NC,NC,NC,NC,NC,NC,NC,www.berluti.com,https://www.berluti.com/en-us/search?q=,NC,NC
Charvet,NONE,NC,NC,NONE,NC,NC,NC,NC,charvet.com,,NC,NC
Husbands,NC,NC,NC,NC,NC,NC,NC,NC,husbands-paris.com,https://www.husbands-paris.com/search?q=,NC,NC
Brioni,NC,NC,NC,NC,NC,NC,NC,NC,www.brioni.com,https://www.brioni.com/en-us/search?q=,NC,NC
Isaia,NC,NC,NC,NC,NC,NC,NC,NC,www.isaia.it,https://www.isaia.it/en/search?q=,NC,NC
The Row,NC,NONE,NC,NC,NC,NC,NC,NC,www.therow.com,https://www.therow.com/search?q=,NC,NC
Lemaire,NC,NONE,NC,NC,NC,NC,NC,NC,www.lemaire.fr,https://www.lemaire.fr/search?q=,NC,NC
Jil Sander,NC,NC,NC,NC,NC,NC,NC,NC,www.jilsander.com,https://www.jilsander.com/en-us/search?q=,NC,NC
Acne Studios,NC,NONE,NC,NC,NC,NC,NC,NC,www.acnestudios.com,https://www.acnestudios.com/us/en/search?q=,NC,NC
Dries Van Noten,NC,NC,NC,NC,NC,NC,NC,NC,www.driesvannoten.com,https://www.driesvannoten.com/search?q=,NC,NC
Wales Bonner,NC,NC,NC,NC,NC,NC,NC,NC,walesbonner.com,https://walesbonner.com/search?q=,NC,NC
JiyongKim,NC,NC,NC,NC,NONE,NONE,NC,NONE,intl.jiyongkim.net,https://intl.jiyongkim.net/product/search.html?keyword=,NC,NC
Brunello Cucinelli,NC,NC,NC,NC,NC,NC,NC,NC,shop.brunellocucinelli.com,https://www.brunellocucinelli.com/en-us/search?q=,NC,NC
Fedeli,NC,NC,NC,NONE,NONE,NC,NC,NONE,www.fedelicashmere.com,https://www.fedelicashmere.com/en-usd/search?q=,NC,NC
The Elder Statesman,NC,NC,NC,NONE,NC,NC,NC,NONE,elder-statesman.com,https://www.elder-statesman.com/search?q=,NC,NC
Hermès,NC,NC,NC,NONE,NC,NC,NC,NC,www.hermes.com,https://www.hermes.com/us/en/search/?s=,NC,NC
Loro Piana,NC,NC,NC,NC,NC,NC,NC,NC,us.loropiana.com,https://us.loropiana.com/en/search?q=,NC,NC
Rubinacci,NC,NC,NC,NONE,NC,NC,NC,NC,www.marianorubinacci.com,https://www.marianorubinacci.com/en/search-results?searchterm=,NC,NC
Kiton,NC,NC,NC,NC,NC,NC,NC,NC,kiton.com,https://www.kiton.com/en-us/search?q=,NC,NC
Cesare Attolini,NONE,NONE,NC,NONE,NC,NC,NC,NC,www.cesareattolini.com,https://www.cesareattolini.com/en/search?q=,NC,NC
Zilli,NC,NONE,NC,NC,NC,NC,NC,NC,en.zilli.com,https://en.zilli.com/search.php?search_query=,NC,NC
Stefano Ricci,NC,NC,NC,NC,NC,NC,NC,NC,www.stefanoricci.com,https://www.stefanoricci.com/en-us/search?q=,NC,NC
