brand,current_score,named_technology,registered_owner,origin,evidence_url,checked_on,notes
Patagonia,5,FullRange,"Patagonia, Inc.",house_owned,https://trademarks.justia.com/860/15/fullrange-86015394.html,2026-09-10,"USPTO Reg 4918554, cl.25 (insulation as an integral part of jackets/sleeping bags). Nano-Air insulation; no supplier credited on the product page."
Patagonia,5,PlumaFill,none found,unclear,https://trademarks.justia.com/search?q=plumafill,2026-09-10,"Sold with (R) on patagonia.com (Micro Puff), but no registration found. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Nearest hit was PIUMAFILL (Furia Cuscini SpA, IT, cl.22), unrelated. Patagonia's own story says its R&D manager 'discovered' the insulation in 2007, which does not say where it was made."
Patagonia,5,NetPlus,Bureo Inc.,licensed,https://trademarks.justia.com/879/83/netplus-87983625.html,2026-09-10,"USPTO Reg 6278348 to Bureo, plus ~10 further Bureo filings. Patagonia presents it as Bureo material and is an investor via Tin Shed Ventures, not a parent. Flagged because an earlier pass may have read it as a house name."
Patagonia,5,Polartec Power Grid,"Polartec, LLC",licensed,https://www.patagonia.com/product/mens-r1-regulator-fleece-pullover/40110.html,2026-09-10,"Third-party mark, licensed by definition; register not searched. The R1 was once sold as Regulator, a Patagonia name; it is now credited to Polartec."
Patagonia,5,PrimaLoft Gold Eco,"PrimaLoft, Inc.",licensed,https://www.patagonia.com/,2026-09-10,"Third-party mark, licensed by definition; register not searched."
Patagonia,5,Pertex Quantum,Mitsui / Pertex,licensed,https://www.patagonia.com/product/mens-micro-puff-insulated-hoody/84031.html,2026-09-10,"Third-party mark, licensed by definition; register not searched."
Patagonia,5,ECONYL,Aquafil S.p.A.,licensed,https://www.patagonia.com/product/mens-torrentshell-3l-rain-jacket/85241.html,2026-09-10,"Third-party mark, licensed by definition; register not searched."
Patagonia,5,HeiQ Pure,HeiQ Materials AG,licensed,https://www.patagonia.com/shop/mens/tops/tech-tees/capilene-cool-daily/heiq,2026-09-10,"Third-party mark, licensed by definition; register not searched."
Vollebak,5,(no house-named technology found),n/a,,https://vollebak.com/en-us/pages/material-technology,2026-09-10,"NO HOUSE NAME TO CHECK, and the schema has no value for that: blank origin here means none found, not not-checked. Its only US marks are VOLLEBAK, a V logo and GARBAGE WATCH (https://trademarks.justia.com/search?q=vollebak). It names generic materials (graphene, copper, aerogel, silver-plated wood pulp) and credits suppliers openly."
Vollebak,5,Schoeller c_change,Schoeller Textil AG,licensed,https://vollebak.com/en-us/products/the-graphene-suit-jacket,2026-09-10,"Third-party mark, licensed by definition; register not searched. Named on the product page as the supplier’s."
Vollebak,5,Dyneema,Avient / DSM Protective Materials,licensed,https://vollebak.com/en-us/products/indestructible-t-shirt-navy-edition,2026-09-10,"Third-party mark, licensed by definition; register not searched. Named on the product page as the supplier’s."
Vollebak,5,Cordura,INVISTA / The LYCRA Company,licensed,https://vollebak.com/en-us/pages/material-technology,2026-09-10,"Third-party mark, licensed by definition; register not searched. Named on the product page as the supplier’s."
Rhone,5,GoldFusion,"Rhone Apparel, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn87157444,2026-09-10,"USPTO Reg 5967773, Principal Register, cl.25, goods limited to fabric 'treated in significant part with gold nanoparticles'; Sec 8&15 accepted Apr 2026. WWD (2016) reported the first version was applied to two Polartec fabrics; current product pages name no base-fabric supplier."
Rhone,5,Flex-Knit,"Rhone Apparel, Inc.",house_owned,https://trademarks.justia.com/874/70/flexknit-87470882.html,2026-09-10; 2026-09-12,"USPTO Reg 6329071 (Justia; TSDR returned 403 on the day). Commuter fabric names no fibre brand. GAP CLOSED 2026-09-12 via TSDR in-browser: SN 87470882 / Reg 6329071 is LIVE/REGISTRATION, Principal Register, status date 20 Apr 2021, owner Rhone Apparel Inc., cl.25 covering fabric sold as a component of clothing. FLEX-KNIT AIR and FLEX-KNIT PRO are live-pending siblings."
Rhone,5,DreamGlow,"RHONE APPAREL, INC.",house_owned,https://tsdr.uspto.gov/statusview/sn98536980,2026-09-10,"USPTO Reg 8170739, registered Mar 2026, cl.25 including fabric sold as a component of clothing. Women’s line."
Rhone,5,Commuter,"RHONE APPAREL, INC.",house_owned,https://tsdr.uspto.gov/statusview/sn97730533,2026-09-10,"USPTO Reg 7282054 but on the SUPPLEMENTAL register only (descriptive tier), registered Jan 2024; a second application SN 98476496 was not checked. Reads as a collection name; the Commuter Pro fabric names only a generic PTT fibre."
Rhone,5,DreamState,"Rhone Apparel, Inc. (application)",unclear,https://tsdr.uspto.gov/statusview/sn99115582,2026-09-10,"Filed as RHONE DREAMSTATE, statement of use accepted 2 Sep 2026, awaiting registration - filed by the house but not yet registered, so unclear on the brief’s test. Fabric is 10% TENCEL Lyocell, a licensed fibre."
Rhone,5,Pursuit,"Rhone Apparel, Inc.",house_owned,https://trademarks.justia.com/983/44/pursuit-98344112.html,2026-09-10; 2026-09-12,"Filed 2024 as PURSUIT SHORT; Justia status stale (630 new application) and TSDR 403, so current status unknown. Mostly a product name. GAP CLOSED 2026-09-12 via TSDR in-browser: SN 98344112 / Reg 8070221, LIVE/REGISTRATION, registered 16 Dec 2025, owner Rhone Apparel Inc., cl.25 for shorts and athletic bottoms - a garment name in a clothing class, not a fabric or technology mark, so it should probably not count toward the house-technology test at all."
Rhone,5,Reign,none found,unclear,https://trademarks.justia.com/owners/rhone-apparel-inc-3185243/,2026-09-10; 2026-09-12,"Sold as 'exclusive Reign fabric' on the PDP. No mark under any of the three Rhone owner pages on Justia, and none on keyword search; WIPO not tried for Rhone. Composition names no ingredient. GAP CLOSED 2026-09-12: WIPO Global Brand Database reached this time - REIGN with owner Rhone returns 0 records across its 89 sources; TMview shows no Rhone applicant among REIGN marks; Rhone Apparel's full 52-mark USPTO portfolio contains no REIGN. Not found in any register reached."
Rhone,5,Quantum,none found,unclear,https://trademarks.justia.com/owners/rhone-apparel-inc-3185243/,2026-09-10; 2026-09-12,"Sold as 'exclusive Quantum fabric' on the PDP. No mark under any of the three Rhone owner pages on Justia, and none on keyword search; WIPO not tried for Rhone. Composition names no ingredient. GAP CLOSED 2026-09-12: WIPO GBD - QUANTUM with owner Rhone, 0 records across 89 sources; no Rhone applicant on TMview; not in the 52-mark portfolio."
Rhone,5,TENCEL Lyocell,Lenzing AG,licensed,https://www.rhone.com/products/mens-new-dreamstate-jogger/,2026-09-10,"Third-party fibre brand, licensed by definition; register not searched. Inside DreamState."
Vuori,5,DreamKnit,"Vuori, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn90050302,2026-09-10,"USPTO Reg 6719618 / SN 90050302. Registered May 2022, cl.25 including fabric sold as a component of finished clothing. Ponto Performance Jogger names no ingredient; the knitting mill is not disclosed."
Vuori,5,BlissBlend,"Vuori, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn98029695,2026-09-10,USPTO Reg 7615743 / SN 98029695. Registered Dec 2024 as VUORI BLISSBLEND; two related applications also in Vuori’s name.
Vuori,5,BlissBlend Form,"Vuori, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn98545357,2026-09-10,USPTO Reg 8393477 / SN 98545357. Registered Aug 2026 in cl.24 (fabric) and cl.25. Mostly women’s.
Vuori,5,BreatheInterlock,"Vuori, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn90050171,2026-09-10,"USPTO Reg 7367385 / SN 90050171. Registered Apr 2024, cl.25 including fabric sold as a component of clothing."
Vuori,5,(no licensed technology found),n/a,,https://vuoriclothing.com/pages/vuori-fabric-guide,2026-09-10,"Not a technology row: recorded because no third-party mark appeared on the fabric guide or on the Kore, Strato Tech, Ponto and Meta product pages checked. Blank origin = none found, not not-checked."
Stone Island,4,-TC (Tinto Capo),none found,unclear,https://www.stoneisland.com/en-us/stone-island-material-science-nylon-metal.html,2026-09-10,"The garment-dyeing claim. No TC, TINTO CAPO or garment-dye mark in the name of Sportswear Company S.p.A. or Moncler on any register tried; the Sportswear Company applicant list (76 marks) holds none. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Third parties hold the words - Komatsu Matere Co. (JPO, cl.18/24/25/40) and Piga Lamberto (EUIPO 018412276, cl.25) - but 'tinto capo' is ordinary Italian for garment-dyed, so those do NOT show Stone Island licensing anything. No garment-dyeing patent found for either company (Justia patents; Google Patents assignee search). The in-house claim rests on the brand’s own site ('methods and colour recipes developed in-house'). Register cannot settle this one; not decided here."
Stone Island,4,David-TC,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Current FW26 lead garment-dyed shell. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,Nylon Metal,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Iridescent trilobate nylon, garment dyed; current version is Nylon Metal-TC in ECONYL. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,Raso Gommato,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Rubberised cotton satin, in the line since 1984. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,Crinkle Reps,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Crinkled recycled nylon shell. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,Micro Reps,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Matt micro-reps shell. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,Corrosion Treatment,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Corrosion finish applied to finished nylon garments. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,S.I. Ghost,none found,unclear,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Tonal design treatment, arguably not a technology. No registration found in the name of Sportswear Company S.p.A. or Moncler. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). Sportswear Company did register fabric marks historically (ELASTON, ICE JACKET, UIBM 1997-98), neither current."
Stone Island,4,GORE-TEX,W. L. Gore & Associates,licensed,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Third-party mark, licensed by definition; register not searched. ECONYL sits inside the house name Nylon Metal-TC; PrimaLoft appeared on past Crinkle Reps pieces."
Stone Island,4,ECONYL,Aquafil S.p.A.,licensed,https://www.stoneisland.com/en-us/stone-island-material-science-nylon-metal.html,2026-09-10,"Third-party mark, licensed by definition; register not searched. ECONYL sits inside the house name Nylon Metal-TC; PrimaLoft appeared on past Crinkle Reps pieces."
Stone Island,4,PrimaLoft,"PrimaLoft, Inc.",licensed,https://www.stoneisland.com/en-us/collection/coats-and-jackets,2026-09-10,"Third-party mark, licensed by definition; register not searched. ECONYL sits inside the house name Nylon Metal-TC; PrimaLoft appeared on past Crinkle Reps pieces."
Lululemon,4,Warpstreme,LULULEMON ATHLETICA CANADA INC.,house_owned,https://trademarks.justia.com/search?q=warpstreme,2026-09-10,"USPTO Reg 4988997 / SN 86041563. Registered Jun 2016, cl.25; also CIPO and WIPO. On the men’s ABC Jogger."
Lululemon,4,Everlux,LULULEMON ATHLETICA CANADA INC.,house_owned,https://trademarks.justia.com/search?q=everlux,2026-09-10; 2026-09-12,"USPTO SN 97898272 (registered per TMview); 2017 filings dead. US history is messy - the 2017 cl.25 filing died after a dismissed appeal and the cl.24 filing was abandoned; the 2023 refiling shows registered on TMview while Justia is stale. Canada, EU and WIPO (1385735, 1428418) are registered to lululemon. GAP CLOSED 2026-09-12 at source: SN 97898272 / Reg 7327436, LIVE/REGISTRATION, registered 12 Mar 2024, owner lululemon athletica canada inc. TMview was right and the Justia record is stale."
Lululemon,4,Nulu,LULULEMON ATHLETICA CANADA INC.,house_owned,https://trademarks.justia.com/search?q=nulu,2026-09-10,"USPTO Reg 5666869 / SN 86553695. Registered Jan 2019, cl.25. Sibling NULUX also registered to lululemon."
Lululemon,4,Luon,LULULEMON ATHLETICA CANADA INC.,house_owned,https://trademarks.justia.com/search?q=luon,2026-09-10,"USPTO Reg 3024374 / SN 78253186. Registered and renewed, cl.25 (cl.24 in EU/CA). Press (Wikipedia, citing Eclat Textile) identifies Eclat as the supplier of the fabric - the house owns the name, a mill makes the cloth."
Lululemon,4,Silverescent,LULULEMON ATHLETICA CANADA INC.,house_owned,https://trademarks.justia.com/search?q=silverescent,2026-09-10,"USPTO Reg 3116371 / SN 78551197. Registered, cl.25. The site says the technology is ‘powered by X-STATIC’ and the Metal Vent Tech composition lists 3% X-Static nylon: house name over a licensed ingredient."
Lululemon,4,Vitasea,LULULEMON ATHLETICA CANADA INC.,house_owned,https://trademarks.justia.com/search?q=vitasea,2026-09-10,"USPTO Reg 3272013 / SN 78829836. Registered, cl.25. Site says it is made with Seacell yarn blended with cotton and Lycra - house name over two licensed ingredients."
Lululemon,4,Swift,none found,unclear,https://trademarks.justia.com/owners/lululemon-athletica-canada-inc-2983915,2026-09-10; 2026-09-12,"On the current men’s fabric guide, written without TM. No SWIFT fabric mark under lululemon on TMview (USPTO/CIPO/EUIPO/UKIPO/WO/BR) or Justia owner pages; only SWIFTLY, a product line. Third-party SWIFT marks not examined. GAP CLOSED 2026-09-12: CIPO checked directly (current to 9 Sep 2026) - SWIFT with lululemon returns 0 of 267 lululemon records; the nearest is SWIFTLY (app 1679069), the garment line, not a fabric mark. WIPO GBD agrees: 0 records worldwide."
Lululemon,4,No-Stink Zinc,none found,unclear,https://trademarks.justia.com/search?q=no-stink+zinc,2026-09-10,Shown with TM on men’s shirts. No STINK or ZINC mark under lululemon on Justia or TMview; WIPO retry errored. An unrelated ZINC OUT THE STINK filing (Ascend Performance Materials) has ended and is not evidence of a supplier.
Lululemon,4,ABC (Anti-Ball Crushing),lululemon athletica canada inc. (all clothing-class filings dead),unclear,https://trademarks.justia.com/owners/lululemon-athletica-canada-inc-2983915,2026-09-10,"Only lululemon ever filed it, but every cl.25 filing has ended in the US, EU, UK and Canada; one US cl.35 application is pending. A gusset construction rather than a fabric. No live registration to rest house_owned on."
Lululemon,4,X-STATIC,"Noble Biomaterials, Inc.",licensed,https://www.eu.lululemon.com/en-lu/p/metal-vent-tech-short-sleeve-shirt/prod11710026.html,2026-09-10,"Third-party mark, licensed by definition; register not searched. Sits inside a lululemon house name (Silverescent, Vitasea)."
Lululemon,4,SeaCell,smartfiber AG,licensed,https://www.eu.lululemon.com/en-lu/c/mens/product-guides/our-fabric-and-technology,2026-09-10,"Third-party mark, licensed by definition; register not searched. Sits inside a lululemon house name (Silverescent, Vitasea)."
Lululemon,4,LYCRA,The LYCRA Company,licensed,https://www.eu.lululemon.com/en-lu/c/mens/product-guides/our-fabric-and-technology,2026-09-10,"Third-party mark, licensed by definition; register not searched. Sits inside a lululemon house name (Silverescent, Vitasea)."
Mack Weldon,4,SILVER,none live (SILVER BY MACK WELDON abandoned),unclear,https://trademarks.justia.com/864/26/silver-by-mack-86426868.html,2026-09-10,"The only filing, SILVER BY MACK WELDON (SN 86426868, Mack Weldon, Inc.), was abandoned 3 Sep 2015 for failure to respond - re-read and confirmed by this thread. The antimicrobial is third-party: PDPs list 10% Ionic+ polyester and the fabrics page credits ‘Ionic+ silver technology’."
Mack Weldon,4,18-Hour Jersey,none live (18/HOUR abandoned),unclear,https://tsdr.uspto.gov/statusview/sn90847840,2026-09-10,"18/HOUR (SN 90847840) abandoned 31 Oct 2022 after a missed office-action response. A live 18 HOUR registration for bras belongs to HBI Branded Apparel (Hanesbrands) - different goods, not evidence of a licence."
Mack Weldon,4,AIRKNITx,none found,unclear,https://trademarks.justia.com/owners/mack-weldon-inc-2397655,2026-09-10; 2026-09-12,"No Mack Weldon filing on Justia keyword search or either owner page; WIPO GBD errored. AIRKNIT is registered to Bedgear LLC for bedding, an unrelated company and class. GAP CLOSED 2026-09-12: WIPO GBD retried without error - AIRKNITX returns 0 records across 89 sources, and the 25 worldwide AIRKNIT records belong to ten other companies, none Mack Weldon. TMview: no rows."
Mack Weldon,4,WARMKNIT,none found,unclear,https://trademarks.justia.com/owners/mack-weldon-inc-2397655,2026-09-10; 2026-09-12,"No filing found. The warmth is third-party: the PDP says ‘insulating Thermolite technology’, 48% Thermolite polyester. GAP CLOSED 2026-09-12: WIPO GBD - WARMKNIT returns 0 records across 89 sources; TMview no rows. No register entry exists anywhere these aggregators cover."
Mack Weldon,4,ACE,none found,unclear,https://trademarks.justia.com/owners/mack-weldon-inc-2397655,2026-09-10,Not among Mack Weldon filings on Justia owner pages; too generic to search meaningfully.
Mack Weldon,4,Ionic+,"Noble Biomaterials, Inc.",licensed,https://mackweldon.com/pages/fabrics,2026-09-10,"Third-party mark (the rebranded X-STATIC), licensed by definition; register not searched. It is what makes SILVER work."
Mack Weldon,4,Thermolite,The LYCRA Company,licensed,https://mackweldon.com/products/warmknit-waffle-long-sleeve-crew,2026-09-10,"Third-party mark, licensed by definition; register not searched. It is what makes WARMKNIT work. Supima and LYCRA also appear in compositions."
