mark,brand_count,kind,owner,basis,brands
typhoon,1,house_named_fabric,Paul & Shark,Paul & Shark house fabric,Paul & Shark
tyono,1,house_named_fabric,Arc'teryx,Arc'teryx's own nylon (Tyono 30),Arc'teryx
tx jersey,1,house_named_fabric,J.Lindeberg,J.Lindeberg's own tech jersey name,J.Lindeberg
turtleskin,1,unclear,,TurtleSkin is Warwick Mills' protective-fabric brand but that is unrelated to Tecovas boots; source unresolved,Tecovas
turbodry[house],1,mill_or_fibre_supplier,NexTex Innovations,TurboDry is NexTex's registered fabric brand - the harvest's [house] tag is wrong,Mizzen+Main
tumi tracer,1,mill_or_fibre_supplier,Tumi,third-party luggage programme appearing via a Kith collab,Kith
transcend vintage,1,house_named_fabric,PAIGE,PAIGE's own stretch denim family,PAIGE
transcend,1,house_named_fabric,PAIGE,PAIGE's own stretch denim name,PAIGE
trama,1,noise,,Italian for weft/weave - generic,Brioni
traceable wool,1,noise,,descriptive programme wording not a mark,Zegna
toughknit,1,house_named_fabric,Buck Mason,brand-coined knit name,Buck Mason
totalwool,1,house_named_fabric,Redvanly,brand-coined wool fabric name,Redvanly
tomboy-cotton. polartec,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Cuts Clothing
toile de jouy],1,noise,,generic historic French print type,Dior
thornproof,1,house_named_fabric,Barbour,Barbour's own Thornproof waxed cotton,Barbour
thinsulate (y's for men line,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Yohji Yamamoto
thermoreevodown,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brooks Brothers
thermore (evodown,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Samsøe Samsøe
thermoplume),1,mill_or_fibre_supplier,PrimaLoft,ThermoPlume is PrimaLoft's blown insulation,Samsøe Samsøe
thermoliteindigo denim,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",AG
thermodapt,1,house_named_fabric,Levi Strauss & Co.,Levi's own thermoregulating fabric finish,Levi's
thermo weave. licensed: none found,1,house_named_fabric,Barbour,Barbour's own lining name; trailing text is a harvest annotation,Barbour
thermo / thermo-hose,1,noise,,generic German product wording (Hose = trousers),Brax
thermal experience index / tei,1,house_named_fabric,Canada Goose,house-coined warmth rating scale,Canada Goose
the fabric is water-,1,noise,,sentence fragment,Valstar
testa 1919,1,mill_or_fibre_supplier,Testa 1919,Italian fabric house sold through mill merchants,Suitsupply
tencellyocell,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Acne Studios
tencel/lenzing,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Mizzen+Main
tencel/ lenzingecovero,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Boggi Milano
tencel power denim,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",AG
tencel lyocell,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rhone
tencel jersey / tencel,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",AGOLDE
tencel / carbon zero tencel,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Purple
tencel - licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Wythe
tencel (licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Son of a Tailor
tencel (compositio,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Joe's Jeans
teknotela,1,house_named_fabric,Incotex (Slowear),part of Incotex's own Tekno fabric family,Incotex
teknosartorial line,1,house_named_fabric,Incotex (Slowear),Incotex's own line name,Incotex
tekno twill,1,house_named_fabric,Incotex (Slowear),part of Incotex's own Tekno family,Incotex
techno cotton silk,1,noise,,descriptive composition,Isaia
tech+,1,unclear,,Levi's sub-label; could not confirm whether it is a registered house mark or shorthand,Levi's
tango chirimen,1,mill_or_fibre_supplier,"Tango silk-weaving region, Japan","regional protected crepe-silk designation (certification-like), not Visvim's own",Visvim
tana lawn[liberty fabrics' tana lawn],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Sid Mashburn
tabor,1,noise,,Mott & Bow fit name,Mott & Bow
t400,1,mill_or_fibre_supplier,The LYCRA Company,T400 is a branded bicomponent stretch fibre,Joe's Jeans
synchilla,1,house_named_fabric,Patagonia,Patagonia's own fleece name,Patagonia
swift,1,house_named_fabric,lululemon,lululemon's own fabric name,Lululemon
supportive gel,1,noise,,generic footwear descriptor,Thom Browne
supimain product descriptions,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",The Row
supima. house: wooltech,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Boggi Milano
supima. house: solaro,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Sease
supima (licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Son of a Tailor
super-luminova,1,mill_or_fibre_supplier,RC Tritec / Nemoto,luminous pigment brand licensed to watchmakers,Polo Ralph Lauren
super tasmania,1,house_named_fabric,Gran Sasso,Gran Sasso's own shop lists Super Tasmania as a house wool line,Gran Sasso
super dux,1,house_named_fabric,Carhartt,Carhartt's own fabric name,Carhartt
summer comfort,1,house_named_fabric,Peter Millar,Peter Millar's own name for its stretch performance cloth,Peter Millar
sugar cane fiber denim,1,noise,,descriptive composition,Sugar Cane
sueded fleece,1,noise,,generic fabric descriptor,Citizens of Humanity
stylbiella,1,mill_or_fibre_supplier,Stylbiella,Italian mill in the Biella district,Billy Reid
stretchknit,1,noise,,generic compound descriptor,Redvanly
stretch selvage,1,noise,,generic denim descriptor,Marine Layer
stretch cotton weave,1,noise,,generic descriptor,Charles Tyrwhitt
storm system [licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Jack Victor
storm system,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brooks Brothers
storm defender,1,house_named_fabric,Carhartt,Carhartt's own waterproof technology name,Carhartt
storm,1,noise,,fragment; likely truncated from Storm System,Isaia
stevensons h2o everwax,1,mill_or_fibre_supplier,Stevensons (tannery),third-party tannery leather mark carried by Tecovas,Tecovas
starfit,1,noise,,fit name,Massimo Dutti
stain resistant,1,noise,,generic finish claim,Charles Tyrwhitt
sta-prest,1,house_named_fabric,Levi Strauss & Co.,Levi's registered permanent-press mark,Levi's
"sold as ""sease's iconic solaro(",1,noise,,harvest artefact; solaro is a generic historic cloth type,Sease
solarcore,1,mill_or_fibre_supplier,Solarcore Inc. (ex-OROS),aerogel insulation licensed to J.Lindeberg,J.Lindeberg
soft weft,1,noise,,generic descriptor,Citizens of Humanity
soft touch,1,noise,,generic descriptor,Eton
soft second skin,1,noise,,generic marketing phrase,Mott & Bow
so it is not credi,1,noise,,sentence fragment,Dolce&Gabbana
smooth feel,1,noise,,generic descriptor,Eton
silverescent,1,house_named_fabric,lululemon,lululemon's mark for its X-Static-treated fabric,Lululemon
silver,1,house_named_fabric,Mack Weldon,Mack Weldon's Silver line name for its treated knit,Mack Weldon
silk pro,1,unclear,,Suitsupply fabric label; no source shows whether it is a mill's name or Suitsupply's own,Suitsupply
signature 6-pleat shirring,1,noise,,descriptive construction detail,Brooks Brothers
signature,1,noise,,generic word,Marine Layer
sidogras,1,mill_or_fibre_supplier,Sidogras S.A.,Catalan weaving mill,Suitsupply
shrink-to-fit,1,house_named_fabric,Levi Strauss & Co.,Levi's registered Shrink-to-Fit mark,Levi's
shower-resistant),1,noise,,generic claim,Burberry
shep shirt,1,noise,,Vineyard Vines garment name; registered but not a material mark,Vineyard Vines
shelter cloth,1,house_named_fabric,Filson,Filson's own fabric name,Filson
secret wash,1,house_named_fabric,J.Crew,J.Crew's own finish name,J.Crew
secondskin,1,house_named_fabric,Zegna,Zegna's own name for its shoe/leather construction,Zegna
sebago,1,mill_or_fibre_supplier,Sebago,third-party footwear brand carried by Bonobos,Bonobos
seaside,1,noise,,Peter Millar collection name not a material mark,Peter Millar
seacell,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Lululemon
seaboard soft knit,1,house_named_fabric,J.Crew,J.Crew's own fabric name,J.Crew
sea island cashmere,1,noise,,garbled: Sea Island denotes a cotton designation not a cashmere mark,Sunspel
scuba wool comfort,1,noise,,descriptive fabric type,Isaia
schoeller c_change,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Vollebak
save the sea,1,noise,,Paul & Shark sustainability programme name not a material mark,Paul & Shark
sankaty,1,house_named_fabric,Vineyard Vines,VV's own name for its performance fleece,Vineyard Vines
saltwater,1,house_named_fabric,Vineyard Vines,VV's own heavyweight cotton fabric name,Vineyard Vines
salomon contagrip / quicklace,1,mill_or_fibre_supplier,Salomon,third-party outsole and lacing marks via a Kith collab,Kith
sakar,1,unclear,,Fedeli yarn/fabric label; nothing found tying it to a spinner or to Fedeli itself,Fedeli
s.i. ghost,1,house_named_fabric,Stone Island,Stone Island's own Ghost Piece treatment,Stone Island
rugged twill,1,house_named_fabric,Filson,Filson's signature house fabric,Filson
rugged flex,1,house_named_fabric,Carhartt,Carhartt's own stretch technology,Carhartt
roica v550[roica v550],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Frame
rogna,1,mill_or_fibre_supplier,Lanificio Rogna,Italian wool mill; Suitsupply publishes a mill page on it,Suitsupply
riviera. licensed: supima,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Sunspel
riri- licensed component mark,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rhude
rigid,1,noise,,generic denim descriptor,AGOLDE
ridge,1,noise,,Mott & Bow fit name,Mott & Bow
rich/heavy texture,1,noise,,generic descriptor,Eton
reviva,1,unclear,,several unrelated Reviva textile marks exist; could not tie Faherty's use to a supplier or to its own line,Faherty
reversible overshirt). also named house,1,noise,,harvest annotation,Hermès
reversible hooded vest,1,noise,,garment name,Hermès
revelvet,1,house_named_fabric,Rothy's,Rothy's own recycled-velvet material name,Rothy's
relay jersey,1,house_named_fabric,Theory,Theory's own fabric name,Theory
reign,1,house_named_fabric,Rhone,Rhone-coined mark for its proprietary knit; used as a fabric/collection name across Reign Tech tops,Rhone
regenagri,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Massimo Dutti
regal wool,1,house_named_fabric,Theory,"Theory names its cloths (Regal Wool, Good Wool, Neoteric); Regal Wool is Theory's stretch-wool suiting name",Theory
recycled organic arctic tech,1,house_named_fabric,Canada Goose,Arctic Tech is Canada Goose's proprietary shell fabric; 'recycled organic' is the recycled variant,Canada Goose
re-nylon,1,house_named_fabric,Prada,"Prada Re-Nylon, Prada's name for its regenerated-nylon programme (fibre itself is Aquafil ECONYL)",Prada
raso gommato,1,house_named_fabric,Stone Island,Named entry in Stone Island's own fabric index (rubberised satin),Stone Island
rain wool,1,house_named_fabric,Gran Sasso,"Gran Sasso Rainwool/Rain Wool, its own water-repellent treated-wool knit line",Gran Sasso
rain system,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Sease
rain protection,1,noise,,"Generic descriptor of a garment property, not a mark",Canali
rain defender,1,house_named_fabric,Carhartt,"Carhartt Rain Defender, its registered durable water-repellent finish",Carhartt
rain cloth. licensed: primaloft,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Filson
rain & wind,1,noise,,Generic descriptor / category phrase,Canali
quick dry,1,noise,,Generic performance descriptor,Hackett
quantum,1,house_named_fabric,Rhone,"Rhone-coined material/collection mark, not a third-party fabric",Rhone
pyca pro,1,house_named_fabric,Cuts Clothing,"PYCA Pro is Cuts' proprietary knit, coined and trademarked by the brand",Cuts Clothing
pursuit,1,house_named_fabric,Rhone,Rhone-coined collection name tied to its own fabric; not a third-party mark,Rhone
purepress,1,mill_or_fibre_supplier,Cotton Incorporated,PUREPRESS is a formaldehyde-free durable-press finish developed by Cotton Incorporated and licensed to brands; Polo only carries it,Polo Ralph Lauren
purepoly,1,house_named_fabric,Redvanly,"One of Redvanly's own fabric names (LuxWool, MarineGrade, LuxThermal, PurePoly)",Redvanly
primaloft gold eco,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Patagonia
primaloft (brand page only,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Corneliani
prep-formance,1,house_named_fabric,johnnie-O,johnnie-O's coined portmanteau for its performance fabric,johnnie-O
