brand,denominator,unit,names_technology_n,names_technology_pct,claim_only_pct,majority_synthetic_pct,coverage,source_file,styles_denominator,styles_basis,pct_basis,partial,partial_reason
Suitsupply,1075,men's apparel styles,474,44.1,3.2,1.8,"census; mark is in the subtitle, no symbols anywhere",depth_b7,1075,reported,records,yes,"the share was counted on men's apparel styles, so the style-level numerator needs a re-count - 1,075 styles behind 1,332 records"
Lululemon,624,tiles (429 men's apparel),268,42.9,47.0,70.8,census; 51.0% on the 429 apparel,depth_lululemon_mackweldon,624,equals_records,styles,no,tiles are styles (586 distinct names in 590 readable tiles); 429 are men's apparel
Sunspel,760,men's apparel records,321,42.2,23.8,2.2,census,depth_b7,,unknown,records,yes,no style denominator exists: 838 records; no style count was taken
Brooks Brothers,954,styles,372,39.0,11.9,6.3,census; BrooksEase/BrooksCool are gone,depth_b4,954,equals_records,styles,no,
Rhone,581,styles,219,37.7,22.9,62.8,reconstructed from feed; live range 505-589,depth_vuori_rhone,581,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count - reconstructed from the feed by style handle"
Filson,504,colourway records,178,35.3,38.1,3.6,"census; Rugged Twill is bags, zero in men's apparel",depth_b1,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
PAIGE,318,records (~159 styles),107,33.6,25.9,1.0,census; TRANSCEND is 54% rayon - synthetic share is 45.5% if rayon counts,depth_b8,159,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count - approximate; ~159 styles behind 318 records"
Rhoback,450,styles (745 records),148,32.9,63.1,91.3,"sample n=149; 8 house marks, zero licensed",depth_b4,450,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count - ~450 styles behind 745 records"
Baracuta,239,records (73 styles),77,32.2,13.0,24.3,census; sitemap 992 was 283 x 4 locales,depth_b6,73,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count"
Robert Barakett,175,records,52,29.7,29.1,12.0,census; Soft Water finish 43,depth_b10,46,derived,records,yes,"style denominator is derived; the share was counted on records, so the style-level numerator needs a re-count - 175 records at a reported 3.8 records per style"
Boggi Milano,712,men's apparel styles,210,29.5,7.3,33.0,census; 15.9% excluding its B Tech line label,depth_b7,712,reported,records,yes,"the share was counted on men's apparel styles, so the style-level numerator needs a re-count"
Stone Island,618,colourway records (292 styles),174,28.2,,,REPRODUCED ON AN ALLOWED PATH (product sitemap + PDPs); (b) and (c) HELD,stone_island_allowed_path,292,reported,records,yes,"the earlier 637/298 census came through /on/demandware.store/, which this site's robots.txt disallows, so it is withdrawn. The naming share is reproduced from the product sitemap alone (slugs carry the fabric name): 174 of 618 = 28.2%, against the withdrawn 187/637 = 29.4%, with 12 of 13 families within one record. PrimaLoft is held - it is named only in descriptions (sampled ~2.7%), never in a product name. (b) is held: 0 of 74 rendered PDPs, an indication not a census, because the site throttles rendering to ~2/min. (c) is held permanently: composition is not in the rendered DOM at all - it sits behind a dialog wired to the disallowed controller."
Faherty,404,styles (1231 records),116,28.7,19.3,12.1,census; Legend is a garment name - all 116 are licensed,depth_b4,404,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count"
Prada,880,colourway records,246,28.0,10.2,9.8,census; accessories (22) excluded,depth_prada_canali_aspesi_jiyongkim,,unknown,records,yes,no style denominator exists: 880 colourway records; only the RTW subset was resolved to styles (361 -> 270)
AYR,75,records (219 colourways),21,28.0,16.0,2.7,census; house marks came only from the TM harvest,depth_b10,75,equals_records,styles,no,75 feed records carrying 219 colourways
Alo,799,men's records (195 styles),224,28.0,24.4,35.5,census; Airbrush/Airlift are 0 in men's,depth_b9,195,reported,records,yes,"the share was counted on men's records, so the style-level numerator needs a re-count"
Canada Goose,248,styles,69,27.8,27.0,29.4,census; 38.7% state no composition,depth_b1,248,equals_records,styles,no,
Sease,472,men's apparel records,127,26.9,38.3,10.0,census; 43.0% counting Solaro,depth_b8,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
Alex Crane,257,apparel records (61 styles),69,26.8,34.6,0.0,census; 43.6% state no composition; zero synthetic fibre,depth_b9,61,reported,records,yes,"the share was counted on apparel records, so the style-level numerator needs a re-count"
Tecovas,149,styles,39,26.2,14.1,0.7,census,depth_b6,149,equals_records,styles,no,361 variants on 149 records
Rothy's,42,men's records (8 styles),11,26.2,0.0,100.0,census; men's is footwear only,depth_b5,8,reported,records,yes,"the share was counted on men's records, so the style-level numerator needs a re-count"
Vineyard Vines,723,styles,189,26.1,12.4,31.3,"census; family is in the slug, not the copy",depth_b2,723,equals_records,styles,no,
Eton,6129,colourway records,1532,25.0,20.0,3.5,sample n=200; vocabulary is structured fields,depth_b3,,unknown,records,yes,no style denominator exists: colourway records (colorLinks per colour); no style count was taken
RLX,73,men's records,18,24.7,32.9,58.9,census; a golf line making almost no performance claims,depth_b10,,unknown,records,yes,no style denominator exists: colours grouped but one name can span up to 22 records; neither unit is clean
J.Lindeberg,666,US men's records (284 styles),144,21.6,25.5,58.7,"census; feed caps at 7,500 of 7,755",depth_b2,284,reported,records,yes,"the share was counted on US men's records, so the style-level numerator needs a re-count"
Southern Tide,459,styles,97,21.1,46.8,23.7,census 459/459,depth_pilot_southern_tide,459,equals_records,styles,no,
Everlane,411,styles (1895 records),82,20.0,19.5,4.1,census; 49.6% state no composition,depth_b4,411,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count"
Carhartt,1484,styles (831 are hats),293,19.7,17.0,10.3,"facet union; (b),(c) sample n=29",depth_carhartt,1484,equals_records,styles,no,831 of them hats; apparel is ~650
Vuori,376,styles,65,17.3,52.1,73.9,census; 563 tiles collapse to 376,depth_vuori_rhone,376,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count"
TravisMathew,1962,styles,338,17.2,19.0,27.5,census; plus Flexfit on 267 caps,depth_b2,1962,equals_records,styles,no,
Paul & Shark,345,styles,56,16.2,31.0,16.8,"census; Typhoon is 19 on the slice, not 95",depth_b1,345,equals_records,styles,no,
J.Crew,763,styles,118,15.5,22.1,2.7,census 637/763 (128 x 403); 24.2% state no composition,depth_b5,763,equals_records,styles,no,
Criquet,137,colourway records,21,15.3,22.6,27.7,census,depth_ychroma_lesdeux_criquet_bape,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
Samsøe Samsøe,343,apparel records,52,15.2,0.6,12.5,census; its men's GORE-TEX category holds one jacket that never says GORE-TEX,depth_b12,226,derived,records,yes,"style denominator is derived; the share was counted on apparel records, so the style-level numerator needs a re-count - 343 records at a reported 1.52 records per style"
Lacoste,3325,records,499,15.0,18.5,27.8,sample n=622; 9.3% strict,depth_b5,,unknown,records,yes,"no style denominator exists: 3,325 records; no style count was taken"
Malbon,442,men's apparel records,62,14.0,27.1,53.4,census; zero Malbon-own products carry an adidas technology name,depth_b9,234,reported,records,yes,"the share was counted on men's apparel records, so the style-level numerator needs a re-count - 234 distinct titles behind 442 records"
Canali,693,colourway records,95,13.7,8.5,4.0,census 693/693,depth_prada_canali_aspesi_jiyongkim,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
Levi's,1732,"records (1,169 styles)",234,13.5,14.0,4.9,census; (b) is a floor - description sample suggests ~32%,depth_b5,1169,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count"
Jack Victor,279,men's apparel styles,36,12.9,21.1,0.4,"census; DREAM and COMFORTWEAR are fit names, not cloths",depth_b7,279,reported,records,yes,"the share was counted on men's apparel styles, so the style-level numerator needs a re-count"
Proper Cloth,495,shirt fabrics (MTM),64,12.9,39.2,2.6,census of the shirt library; the sport-coat library was gated,depth_b11,,unknown,records,yes,"no style denominator exists: unit is made-to-measure fabrics, not styles - not convertible"
Y.Chroma,39,apparel styles,5,12.8,10.3,38.5,census,depth_ychroma_lesdeux_criquet_bape,39,reported,records,yes,"the share was counted on apparel styles, so the style-level numerator needs a re-count"
Herno,555,colourways (326 styles) + 28 Laminar,70,12.6,29.5,52.8,census 583/583,depth_herno,348,reported,records,yes,"the share was counted on colourways, so the style-level numerator needs a re-count - 326 mainline styles + 22 Laminar styles"
johnnie-O,8055,records (244 style stems),1007,12.5,68.0,70.5,"sample n=200; house marks score 200/200 in nav, 0 on the slice",depth_b3,244,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count - 244 style stems behind 8,055 records"
Mizzen+Main,1277,colourway records (106 styles),157,12.3,74.9,77.8,census,depth_b2,106,reported,records,yes,"the share was counted on colourway records, so the style-level numerator needs a re-count"
Our Legacy,139,live men's records,17,12.2,0.0,9.4,"census; its 51 marks are in the archive, not the live range",depth_b3,,unknown,records,yes,"no style denominator exists: 139 live records; colour is in the slug, no style count was taken"
Barbour,1942,records (864 styles),233,12.0,17.3,26.7,sample n=150; zero licensed marks,depth_b1,864,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count"
Finisterre,336,records (152 styles),40,11.9,45.5,11.6,"census; live range is 336, not the sitemap's 3,696",depth_b3,152,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count"
Rodd & Gunn,793,records (309 styles),92,11.6,34.8,0.9,census; 93.8% state no composition,depth_b6,309,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count"
Norse Projects,447,records (181 styles),51,11.4,11.4,7.4,"census; GORE-TEX 10 on the slice, 55 whole-page",depth_b3,181,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count"
Wythe,246,apparel records,28,11.4,6.1,0.4,census; no trademark symbols anywhere,depth_b10,88,derived,records,yes,"style denominator is derived; the share was counted on apparel records, so the style-level numerator needs a re-count - 246 records at a reported 2.8 records per style"
Rowan,47,records (236 colourways),5,10.6,19.1,0.0,census; TENCEL is women's-only,depth_b9,47,equals_records,styles,no,236 colourways on 47 records
Peter Millar,650,men's PDPs,62,9.5,,,Summer Comfort only; brand precedent was 51/581,cen_G (census),,unknown,records,yes,no style denominator exists: 650 PDPs; colourway handling was not established
Polo Ralph Lauren,1055,men's clothing records,94,8.9,8.3,4.4,sample n=361; floor,depth_b12,1055,equals_records,styles,no,colour is a variant inside one record
Brax,790,men's records,62,7.8,17.6,7.8,sample n=102; badge test - category membership gives 41.5%,depth_b3,,unknown,records,yes,no style denominator exists: colour is in the URL; no style count was taken
Aspesi,331,colourway records,25,7.6,13.9,22.4,census; Thermore 21 on detail slice not 85,depth_prada_canali_aspesi_jiyongkim,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
Buck Mason,187,styles (561 URLs),14,7.5,13.9,2.7,census,depth_b6,187,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count - 187 styles behind 561 URLs"
Fidelity Denim,104,men's colourway records,7,6.7,30.8,0.0,licensed marks only; house fabric labels on 90,depth_corneliani_yohji_fidelity_balenciaga,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
James Perse,891,men's records (272 styles),58,6.5,8.8,7.1,census; TENCEL is zero in men's,depth_b11,272,reported,records,yes,"the share was counted on men's records, so the style-level numerator needs a re-count"
Indochino,1268,fabric x garment records,79,6.2,16.9,0.9,"census; made-to-measure, naming is in the fabric library",depth_b6,727,reported,records,yes,"the share was counted on fabric x garment records, so the style-level numerator needs a re-count - unit is fabric x garment; 727 distinct fabrics - not a style count"
JiyongKim,295,colourway records,18,6.1,2.0,9.8,census; GORE-TEX on 6,depth_prada_canali_aspesi_jiyongkim,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
Visvim,873,men's clothing records,46,5.3,2.6,3.3,census via the items API; 66.9% on a broad reading,depth_b8,,unknown,records,yes,no style denominator exists: 873 records; no style count was taken
Moncler,914,men's apparel records,48,5.2,48.9,46.9,"sample n=305; 11 marks score 100% whole-page, 0 on the slice",depth_b8,,unknown,records,yes,no style denominator exists: 914 records; no style count was taken
Easy Mondays,22,products,1,4.5,27.3,0.0,"census; tiny catalogue, Lycra in a composition line only",depth_b11,22,equals_records,styles,no,407 variants on 22 products
BOSS,1645,men's clothing records,69,4.2,55.7,16.7,sample n=287; census marks absent from men's clothing - floor,depth_b8,810,derived,records,yes,"style denominator is derived; the share was counted on men's clothing records, so the style-level numerator needs a re-count - 1,645 records at a reported 2.03 records per style"
Kith,2738,men's records,114,4.2,4.2,24.2,"feed hard-caps at 25,000; every performance mark is on a collab",depth_b11,1859,derived,records,yes,"style denominator is derived; the share was counted on men's records, so the style-level numerator needs a re-count - 2,738 records carrying 1,859 distinct names"
Rails,312,apparel records (114 styles),13,4.2,14.4,14.1,census; 0.0% if fibre brands in prose do not count,depth_b12,114,reported,records,yes,"the share was counted on apparel records, so the style-level numerator needs a re-count"
Bonobos,2821,products,108,3.8,10.7,8.6,census; 46.4% state no composition; owns no fabric mark,depth_b2,2821,equals_records,styles,no,
Taylor Stitch,315,live records (110 styles),12,3.8,4.8,0.0,census; its licensed marks are all in the archive,depth_b1,110,reported,records,yes,"the share was counted on live records, so the style-level numerator needs a re-count - live men's"
Reiss,2340,est. men's records,84,3.6,4.6,22.7,sample n=194 of 464 drawn,depth_b7,1603,derived,records,yes,"style denominator is derived; the share was counted on est. men's records, so the style-level numerator needs a re-count - ~2,340 records at a reported 1.46 records per style"
Banana Republic,308,"styles (1,016 colourways)",11,3.6,15.6,20.5,census; Core Temp is down to one men's style,depth_b5,308,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count - 308 styles carrying 1,016 colourways"
Club Monaco,168,apparel records,6,3.6,11.9,9.5,census; sitemap holds 477 dead French-locale slugs,depth_b12,113,derived,records,yes,"style denominator is derived; the share was counted on apparel records, so the style-level numerator needs a re-count - 168 records at a reported 1.49 records per style"
Aimé Leon Dore,635,men's records (279 apparel),19,3.0,1.3,13.9,census; GORE-TEX in its own titles,depth_b11,,unknown,records,yes,no style denominator exists: 635 records; no style count was taken
Percival,826,records,20,2.4,25.8,9.4,census; TENCEL in composition lines only,depth_b6,,unknown,records,yes,no style denominator exists: 826 records; no style count was taken
Hackett,947,men's apparel (ROW locale),19,2.0,9.4,7.4,census; there is no US storefront - ROW is the US-facing locale,depth_b7,947,equals_records,styles,no,
Ted Baker,743,apparel records,14,1.9,11.2,11.0,"census; root products.json caps at 38 of 1,302",depth_b12,479,derived,records,yes,"style denominator is derived; the share was counted on apparel records, so the style-level numerator needs a re-count - 743 records at a reported 1.55 records per style"
Les Deux,606,colourway records (321 styles),10,1.7,6.8,27.6,census; per-category paging,depth_ychroma_lesdeux_criquet_bape,321,reported,records,yes,"the share was counted on colourway records, so the style-level numerator needs a re-count"
Yohji Yamamoto,4858,men's colourway records,62,1.3,5.9,13.8,census; (c) sample n=243,depth_corneliani_yohji_fidelity_balenciaga,3417,derived,records,yes,"style denominator is derived; the share was counted on men's colourway records, so the style-level numerator needs a re-count - 4,858 records carrying 3,417 unique vendor+title pairs"
NN07,532,tiles (242 styles),6,1.1,4.1,13.7,census 532/532,depth_nn07,242,reported,records,yes,"the share was counted on tiles, so the style-level numerator needs a re-count"
Corneliani,673,styles,4,0.6,7.3,4.9,census 673/673,depth_corneliani_yohji_fidelity_balenciaga,673,equals_records,styles,no,
A Bathing Ape,2786,JP apparel records,10,0.4,6.1,7.1,JP store; US store fails channel control,depth_ychroma_lesdeux_criquet_bape,,unknown,records,yes,no style denominator exists: JP apparel records; no style count was taken
Massimo Dutti,1505,products,4,0.3,1.3,5.2,"census; 68.0% carry a certification mark (OCS/RCS/RWS) - a ruling, not a measurement",depth_b11,1505,equals_records,styles,no,colour is a bundleColors variant
Balenciaga,338,men's RTW styles,0,0.0,2.1,13.6,census 338/338; filter panel has no material facet,depth_corneliani_yohji_fidelity_balenciaga,338,equals_records,styles,no,
J.McLaughlin,166,apparel records (52 styles),0,0.0,11.4,3.6,census; Catalina Cloth is women's-only and scores 100% whole-page,depth_b12,52,reported,records,yes,"the share was counted on apparel records, so the style-level numerator needs a re-count"
